	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	823318.5792919387	930034.0119340386	978346.936153145	1025551.8628118898	1090717.9353433496	927754.4031011728
chr2	868314.6002296503	947366.0158073652	937377.8571179956	863326.9670183823	878081.0170586404	929635.9722806682
chr3	717952.7566495211	788942.1126936929	777590.8360525706	716202.8212533058	727764.8127439352	732214.6583455048
chr4	651639.1013038938	730837.1032983476	663101.2739421662	584464.8103572452	546849.5587277547	690667.1982915392
chr5	638669.1979205541	698198.0950361112	670938.5232469087	618022.3699923216	607189.0226811651	687901.7341159753
chr6	627345.9984647465	685177.277102537	671311.989333994	654182.0130346009	653230.8600721199	657343.391762874
chr7	565918.7977536644	608947.2159938827	597018.4530755534	580966.3951143974	538483.0624641895	601984.5539644021
chr8	523421.9608392002	566874.1214245227	546652.0302558366	495601.8778537641	488858.2773979097	579148.0429798692
chr9	412087.1459324054	455541.04492404463	473609.45380768826	469817.4782888062	488070.35052191914	449230.9816155438
chr10	478768.76706473314	526506.0813520377	543507.4174026108	508542.4098006688	540215.7707407919	559668.1501063699
chr11	480011.57874960016	548126.4708366079	557653.870042981	582866.9477311095	577428.251985989	550261.4533473122
chr12	474416.575370306	543826.4137082924	540602.4717026062	566130.6700468388	562094.1487533656	534825.7295068695
chr13	345948.0245063571	377595.2485214379	347507.72870682843	299534.4111714733	287736.5674784058	365462.20935984637
chr14	315948.9488718885	362724.54694844934	368635.99992600945	368520.2260530901	382424.69040475157	354043.46006572084
chr15	282401.28664185846	326647.1611029775	345307.9830176235	351054.4353802287	373427.9003620423	329539.57904680923
chr16	287946.8092665596	315897.99447555665	351402.98333713564	408762.85240926675	379538.19174298586	331144.22355760646
chr17	295285.658331427	353127.29094281176	411924.9636545363	518250.2194224742	539689.4148677044	365519.8011964815
chr18	274427.22865535686	294541.83570337493	277978.13207768876	241169.24011081422	234521.60009877192	301665.4769384261
chr19	205135.98387282825	262900.1334917809	305140.6689104074	513058.6513471415	411484.24147876294	279326.9128803973
chr20	232659.28577466708	259630.37775699858	282008.267525388	287154.36485672224	297309.6926284661	295547.2690085668
chr21	128591.24833574168	136234.3097248927	135329.32713680487	125839.12817916981	137846.48749947423	134940.08982279472
chr22	136645.03655955597	150477.0747702171	186615.46716956462	212309.6203572951	235937.79949089437	170377.6244409925
chrX	481236.17147753056	551832.753940099	464092.66937423596	397893.6568829213	306798.2957701032	904758.8833391696
chrY	0.0	0.0	0.0	0.0	0.0	0.0
