	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	65630.5406608749	915780.561526432	999629.0722347447	1020990.8506857433	1089272.8973578052	848690.4327288634
chr2	58391.384644961014	943935.9360194334	932080.5794219828	894757.7802764433	933343.9154409576	902527.3040338224
chr3	43306.39446239523	792148.2801532111	799558.2586892765	749540.7882258991	784728.6576122354	723472.2104133632
chr4	33115.402266224744	742259.4187092627	630746.7166775952	640800.5476300109	611342.9166882673	710490.1108704068
chr5	38417.58150844685	699436.6920695459	647968.5770397997	639699.0494550454	629575.5911167619	674127.2414983974
chr6	37577.73596739046	685424.6233772696	653584.9957416895	680505.3302544383	651896.1951805883	649977.7744813816
chr7	39554.65709530613	607888.0077670452	597195.9551363044	598533.4797194774	579215.8581287976	574520.1997776601
chr8	34411.14898250689	568034.3988689563	525382.8299390086	515444.43408135895	511065.3718196793	552435.0036934506
chr9	31635.88182487344	449211.4940625655	480065.82705632783	470650.8113256415	507028.7968966809	417532.0378845036
chr10	39170.0022990907	523645.88053553	573550.724661008	527176.507891531	596972.7118320945	501475.80887634546
chr11	37947.10660871194	538659.2102058615	547663.3657658846	575642.4690957196	591837.6195536816	505070.24892104935
chr12	34031.3332476901	542356.8504489949	549132.4766818542	574795.960802891	588782.0561282717	503821.5385206529
chr13	18832.70639891345	381897.5480858258	328104.6764501942	325844.3766657784	324078.08930833236	377495.1331678413
chr14	23387.7554504335	358139.9494449907	363146.9039764697	370590.9134505181	390577.8058221843	338755.6496740687
chr15	24423.234807001427	320994.43913352164	355878.0505821439	352913.06312652276	363998.19785701344	298956.79606497026
chr16	30148.92211888366	298585.94324841327	327825.6215540622	374260.5595153521	351303.06523453403	289276.7513633919
chr17	33175.137278748014	332971.2368918144	414441.7503603916	476887.6323298926	489501.6264437005	300413.05051246466
chr18	17902.204514641548	294917.4929219299	260191.7862123003	255639.3721236913	242185.2191509562	293298.14845629944
chr19	27777.760911705107	240925.38114455814	290701.91491141863	446816.90721515164	381370.3744698916	221370.2251165305
chr20	23845.980611214232	250078.46614367884	276632.07187005656	272280.7453368922	293403.59320547996	249515.33049695328
chr21	9351.522204006138	135218.70685596988	125415.76897443095	126748.77448404733	126265.16641744378	133470.24833926847
chr22	18164.99774824935	139728.65526472006	186610.73007385837	191035.18454444362	212027.86292351768	133956.0749518393
chrX	27270.028389008075	538842.3691888964	381028.21118495316	446334.01828270004	393482.4824031934	779663.2098442003
chrY	0.0	0.0	0.0	0.0	0.0	0.0
