	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	64055.276703462914	823623.2437322616	652060.295102358	550917.6015701476	563455.3346250647	771095.6765857835
chr2	60066.91991823223	850091.2903023299	663232.255919756	555458.4139229918	544666.9561912406	831412.9540090816
chr3	49861.36709584501	710990.9295922186	560460.1309259121	469376.26015933545	449597.62039944413	671219.0213185737
chr4	40555.53488438204	641615.587922886	435245.6680428795	422342.69735036144	350040.14420695556	662144.9696262194
chr5	41460.57447916176	624049.5889503825	460781.55849547934	408900.71198848204	370371.7940396084	628635.2658889161
chr6	43504.56938329526	609288.9190842815	453658.44370569894	404053.8452187548	366082.4356076258	598771.7526522556
chr7	37310.45162494742	551765.4534647845	414413.17119494884	361964.7372008142	335944.9081232642	526481.2203724397
chr8	34615.64946159272	507375.7377274794	382051.27739645104	336351.57310852804	319372.8287775973	531594.2927208435
chr9	31474.348699541395	410283.91841484094	334691.6816011896	272209.96433946537	285320.2198983086	387154.5768598521
chr10	36012.74655571095	479951.05786938994	405499.76254612056	317744.54252767103	338022.42597269505	456802.63117836346
chr11	37482.20954208765	483661.65160091565	375483.46870022727	319263.94091956574	332064.7596300094	463217.3144211824
chr12	36522.41077621969	487265.6032036269	361363.59083320963	327082.00435391004	310327.0330190833	454008.09241162275
chr13	21259.762740325	328440.74670894415	225612.2389776937	208057.74825891672	177441.59522505468	352993.1839147036
chr14	24150.986778798513	320915.1659066668	244086.055412094	212351.4718823433	206241.86448512235	303757.31386500713
chr15	22770.59939632882	295815.4711310213	242857.31253656416	199512.69449084747	205613.7288851612	272666.8996585457
chr16	23785.312154451014	283348.2517674164	233072.65272823942	191125.83485807836	213488.05411473525	256681.26849122654
chr17	29318.837940043395	303540.55635683873	248994.64763764702	207329.57965106843	236081.43416286114	252338.06226628122
chr18	17990.739813047647	264507.7482407364	203353.60355988552	173912.73153314626	164551.3687271301	276035.32267067826
chr19	26296.244141930896	220380.57087888548	174769.1660254539	181214.84643826008	188142.5117477833	169667.51797300414
chr20	18306.083837052993	234589.69884522204	199314.49714457337	150659.2107161386	173050.88213743098	232685.84397579535
chr21	9493.260817022623	122150.70274014703	88246.79217261661	76455.39026626047	76700.07733287249	113626.47814144749
chr22	13228.319251542724	134375.73563742914	126526.33465254644	89329.05733868996	122135.2141504068	104377.34707726423
chrX	26133.024643754034	502759.3974616036	310326.79564090254	339959.808416061	274109.38784464914	790606.3835127308
chrY	0.0	0.0	0.0	0.0	0.0	0.0
