	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	871963.2161571891	808850.4062802832	960931.5379643084	949950.6796872616	1060560.0183037885	928169.6158615478
chr2	908813.2178225243	779347.3209913599	979140.8927399042	935266.1692825569	909622.9951123644	965930.8252007781
chr3	734616.7560562197	647253.0084105328	828302.8719427559	788757.0887906121	775819.8623187674	769670.6921524674
chr4	684242.7021749858	546651.5479616629	736463.1627409594	722372.5143070837	595438.494723617	723988.7493434801
chr5	667427.2301094171	561253.7239900708	726123.4430806845	696299.1931685455	628217.181229797	706379.1644353726
chr6	648642.6219919771	556155.6234493431	706361.0442406879	697401.3969554047	638606.16374473	688023.9111422171
chr7	595136.3188306474	503888.741818969	618462.7047515592	607512.9113908813	565704.2206009709	615954.4023112108
chr8	547915.7198844992	454296.3439608242	579703.7491707155	558879.0544045029	500926.70032748336	582365.0510274626
chr9	424876.6142199049	382629.47098763345	463946.83711388387	454653.66105616867	493938.0045440578	454837.6279362041
chr10	517854.25809456187	449307.7080729904	555905.9462214408	522939.807073807	593086.2118915304	546498.1490001216
chr11	504783.89464841085	466306.19086503907	552548.5778023577	550923.0135059999	578567.81929879	542969.2454335071
chr12	499889.83541994187	455765.656119628	552907.4906617105	554705.5581914055	588739.9123984203	542794.5244169995
chr13	350002.73918990546	286467.3480228625	387361.4832226844	373314.8597111498	312275.96421603207	380316.10753532324
chr14	320466.86736639874	295620.4665343029	365000.93605232495	362405.27978319407	377246.2580629842	363390.35361162364
chr15	311413.932520772	289601.2367338082	340593.0595071239	326830.75419619627	357403.7680065323	325402.8275592001
chr16	316282.4010779497	278976.21934358036	316400.32099665055	328478.9710906066	358765.91137394804	322189.47024318005
chr17	320183.40653786185	328630.3322998255	354807.46010566474	377083.6053508286	486392.3809091179	344998.12610424194
chr18	285151.1959515646	233579.05500067424	301973.8806273146	287948.0958394321	244872.50920619705	301566.0024739162
chr19	226338.42482179645	248340.83907267568	249234.0867696376	321903.38940332294	388782.0355124792	261701.02859886352
chr20	248690.70390265877	228551.56776979682	260351.73046525387	253104.5212979997	281481.5021181059	280162.2009026308
chr21	130667.8999348915	108986.45362352203	135854.65066761032	132282.08140141668	125738.5988791095	137311.89505922378
chr22	149905.947998547	143952.1622295717	160064.6161024645	155565.02704708773	214125.88056453102	155180.97375096174
chrX	521469.08704947203	401054.4905357387	521985.0583842323	522794.1710799594	354553.1344655406	854739.7790558442
chrY	0.0	0.0	0.0	0.0	0.0	0.0
