	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	911640.0875848763	922537.7152835758	945205.6838993832	934291.3734686008	974163.0653349591	928027.9920398361
chr2	1007007.7556125434	960667.1269650134	949971.4518391413	899706.1879650418	884361.8180441397	959270.7023890533
chr3	824803.7661366588	806022.7913012591	805562.5870150118	750644.629824019	736008.3257740026	778476.3024208929
chr4	811569.3653994622	759121.6654594316	708080.9008839967	683601.894559607	609069.2900984365	745835.9485902934
chr5	754910.1487618468	714465.3835049294	687159.7462076294	656918.2668937888	607423.3261327174	717359.1370413076
chr6	725161.8247692275	696097.0099048766	668013.7981305319	665491.4741814029	611076.0160237245	692535.1235731831
chr7	658022.6771341526	617855.7563026395	606191.1532553039	591901.9551184594	555201.4587816688	622027.931770791
chr8	618413.911810618	577562.241855819	553056.4479790166	527727.7228218929	489801.2685661605	590635.1827601645
chr9	470445.1576624853	455655.63701631397	468271.8112069869	447783.2680760676	472027.73775382945	456390.0885077428
chr10	540829.9451007928	529910.8244938304	554136.4489997436	507954.8403087574	543918.4925341329	541287.3487189971
chr11	544830.1786176544	547210.6790124342	539537.3973093574	540796.5192853479	549903.6870449424	550465.836339964
chr12	547582.7684921323	546477.2311122007	541261.0514756818	540871.9968196104	548844.0013386311	544893.8820536381
chr13	412811.64777907374	389666.0266763996	367282.9792412045	347801.8511335626	315646.53082324815	393604.77278270415
chr14	365723.8347862738	363806.01046672027	362385.73308944615	355135.4788611785	362533.1284169542	364149.6584080369
chr15	310959.57772828144	323139.38107616326	330830.5761727332	323609.9120607426	325289.9358479973	327574.57118777424
chr16	316779.73721600923	306363.81435464177	314349.1409411486	334495.1167370929	344907.96896771283	326322.0194445924
chr17	310158.4655452153	333753.7827822907	358008.8741086244	392294.48512165714	439977.1645102893	341415.96184176946
chr18	327196.8683650129	301923.67283972376	284694.2218785707	272045.74015430437	245510.45119620007	307676.86184026377
chr19	211802.51835068892	245436.1349353121	246350.83914486793	342258.1120098588	343342.5176485202	262157.32731882675
chr20	255521.5887142872	253468.0692580818	261628.4947302998	252753.49459569601	268523.1801184293	279758.63138399634
chr21	146143.66666627396	137293.6456510539	134475.13607333464	128775.55259995394	125281.66300547522	142138.18972646364
chr22	137672.58211562346	139958.02128625583	156533.28823465313	158949.9335860031	185729.42909274998	157700.77935574236
chrX	340897.98496012756	354100.6286005984	331279.24721386825	340662.4204922327	310564.9017888133	344256.4209111953
chrY	0.0	0.0	0.0	0.0	0.0	0.0
