	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	704522.9069016193	898135.9892731876	933615.7417026564	898832.8736524646	962997.2885341304	900796.0302571811
chr2	707322.4936837403	973059.0077075522	913732.2589158646	955735.9582049117	820393.2583915518	957418.7749618363
chr3	568975.9631011421	818987.7305939788	758226.7439773068	800252.5980598441	675822.7083026455	790868.049590526
chr4	510813.79884545994	803916.6014620502	666128.6968906125	764927.8027341613	541630.6137688112	765141.0005794214
chr5	497646.17691614764	730881.7786448713	655456.1573417917	714087.1917092942	560398.6491004796	722663.7645122217
chr6	503144.88517864235	707807.781990127	652962.9713320226	692628.8682748671	596166.2580431567	689782.6199649657
chr7	462133.1788503691	626118.2589519689	590169.5711422395	615469.8191461684	538217.2253858697	616984.5283379151
chr8	413303.292849199	585214.2114904107	529623.4208090318	573257.5751646794	467097.7386239888	597029.7615960387
chr9	338811.3340880254	446949.8696870273	447524.10290255037	446537.8107217801	444574.8073505107	450114.9302379114
chr10	402848.03442506696	521448.3562842562	526236.7296998125	522638.30341335986	508960.4036895829	540139.9418163918
chr11	401684.94110691117	531870.5558623327	526972.8661070915	529324.5301061593	529626.6172402381	538493.8536440987
chr12	392541.7508321518	543400.7040522747	522105.7340272428	538176.4327413392	509797.75867877016	542401.8702451659
chr13	268831.1699980312	411188.78167305	348380.64527502045	392323.7260075888	290196.5435467092	400570.32530958526
chr14	263353.0579055204	362666.63808058156	356326.6219275144	358697.9378949337	349311.43012025754	356562.54215483204
chr15	241570.37308419077	312333.844823316	331110.0552520545	316132.8009115367	336375.87212874665	322555.0522724049
chr16	245763.48089545398	285789.4533183531	314186.6501123824	300341.5385031068	350190.6012788254	316243.0748963234
chr17	269299.5358556105	301696.48928721977	361459.80342328723	314453.40523749084	449284.7369914018	319200.1945823108
chr18	215704.7868625396	309221.34200089506	273692.45582575497	300332.2764720679	233969.25761042524	313532.9760053843
chr19	196376.03097254733	212571.7183883451	257108.63227903596	238251.52221381877	357134.16484282917	227359.63876213337
chr20	190734.7861757295	237457.16026224082	252413.9070406734	243709.36190343683	260926.12406101314	269356.7978651611
chr21	107388.44996536069	138415.41617039687	126918.9955794451	135856.84987535904	119666.98172953332	142957.32506825693
chr22	125026.72428267429	124293.17580502074	159482.09187115348	131657.39255108938	201919.7123669621	138685.49620642787
chrX	219006.7233973112	357325.8647569567	315797.2952054266	357204.2573080356	279236.06343439384	352824.07960640825
chrY	0.0	0.0	0.0	0.0	0.0	0.0
