	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	62314.58080738486	648405.6073133762	919022.915753327	900295.318218005	890854.1481676974	1031718.1904028892
chr2	55557.95510171613	650726.2732785741	931394.6955332526	871855.5886252604	828936.556709024	943142.0649606618
chr3	45289.174193664265	536928.9245561148	765241.1381082096	726599.8569405804	682519.6181594358	690827.8811396522
chr4	38257.67052463928	487992.72903261293	637506.4152770028	658774.1647905937	588806.7568570737	598538.4473085593
chr5	40616.663961026636	474959.6849924405	670127.2556208626	660023.5269830001	613310.3876518598	657810.4394465934
chr6	40490.74039923179	464735.16782375146	659494.8199381668	658744.7997103086	622025.7077618538	660814.2127445327
chr7	36946.04612171425	422031.504683901	614624.5852639008	611603.0125154973	563401.0543248475	595432.4702575348
chr8	32169.380600878234	387796.65439380106	541842.9086389968	548591.5915078241	474733.1164787929	532990.3790480307
chr9	29248.144352587307	318041.76862694195	476165.6187493033	431894.2218142916	423835.1314998559	471142.9043777535
chr10	31935.091890291686	366948.82575673907	521231.62385089713	499432.7592448146	461830.0666894449	612245.2258839398
chr11	35017.85568089933	379302.2531878267	517609.3518105027	521907.4878186993	468348.1430043873	628028.6520654274
chr12	33373.73595607374	375994.36333727837	493709.069948419	538558.9061747135	494723.2770467176	580446.8798376485
chr13	20230.308653791988	252967.7688621708	370817.4108828242	344814.89111287857	312113.01958368724	301440.13004334585
chr14	21803.652618312844	247966.88418053166	330739.57878447825	348515.9229663339	310526.34293582174	375497.8458934814
chr15	20986.051071998096	228800.0242985858	337547.414367	317105.7947049561	308484.3339384888	389740.10041052895
chr16	22849.62288556137	229778.33287348118	316662.0550648029	327202.97851367464	308084.1247388696	377957.42089200264
chr17	28262.26003546715	259511.92850876172	378908.2813789471	366117.9435673873	384503.70867294655	474899.3476231245
chr18	16544.709074144623	201093.16682845124	294709.8974176174	267325.7704837557	253397.05427932576	277179.0006573956
chr19	26793.347449920515	202647.7350750877	219744.68099222754	369423.4825525877	312145.16790158505	356641.12291745335
chr20	18699.22028504927	189272.64473232592	271566.5699930495	252633.1947430718	251697.59302077568	341039.2745658848
chr21	7895.4847388904545	90524.7903519529	126100.8598247484	130332.07398775464	114663.18168181369	123820.43702956622
chr22	11911.232835631447	111585.99874855287	170028.9188234182	159280.64282984927	155404.84782860804	218030.7601014382
chrX	15492.756235142617	258003.94355821537	257292.37698910083	328158.9478265749	273027.2550613392	303943.5238012747
chrY	0.0	0.0	0.0	0.0	0.0	0.0
