	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	61407.51354523077	891217.8007709906	876034.8497659416	883521.611564879	864534.9819295069	844333.2864267867
chr2	57964.64330503234	876224.5806824367	923137.6295679379	924918.0122102986	812098.9091157819	887390.8311568699
chr3	42166.713673437276	732494.5476542489	767269.5031539624	761193.1571716263	682256.0720137986	754982.7053282231
chr4	32807.818337060424	666420.3419312936	713581.9506414462	707826.2083286769	570738.3969221291	757905.1801951407
chr5	35547.95087290434	649357.4060799337	680789.7187424912	679199.328706705	621137.2781294908	713709.5871958158
chr6	35118.72640578363	637405.9740380797	660793.0177828998	656277.344909532	608194.3272609983	689039.2027663641
chr7	51521.99762902419	608456.0652490066	581758.6726233492	634707.6886623267	519577.98360527394	668450.045832488
chr8	29149.917083220276	516114.85021426174	544464.4602853457	547609.4021589137	454921.2218432932	589771.3081198722
chr9	29229.4364073054	428248.39918339637	424869.5058107869	437542.1194645648	393673.3205785154	437924.5757246358
chr10	29919.74308947501	482131.92227612925	498340.1746595421	506626.70405036485	472462.24266011716	489784.32483596646
chr11	36804.01590071908	527715.0184353904	528124.7571295269	521509.0390540465	494624.2069644078	531287.6645148348
chr12	31675.472927529176	521291.22938135674	520598.36847216735	529879.9518375009	509580.2774852816	522945.25652587926
chr13	17362.664274526942	339817.0942745621	375721.79342659924	360786.50191127154	294153.50191067345	375015.06934986723
chr14	20864.67704371018	326133.28889340605	329331.3853619674	329219.81294134224	290869.7528636107	351511.2485204088
chr15	20057.299258346393	311127.078986501	307432.83457133186	314748.506297626	311746.2636867345	296808.79389119666
chr16	27488.652956679285	294374.61655003706	267024.9733836619	311153.8982950921	250443.20227125872	285200.5817028679
chr17	41051.96304770345	371108.2776393752	300310.01067075005	349409.0740621795	343787.5334663444	345533.62264396413
chr18	13767.876089273956	263337.7995250659	282214.61336464004	281947.18414387514	220615.20532100127	313860.63255226833
chr19	42305.78065000764	278758.01793740614	187800.19368530737	277081.75194302923	210145.01599728424	241422.30111311327
chr20	17627.999146018927	245268.51865841175	227656.60357419023	244304.90441041708	210984.70419634704	261949.74822176094
chr21	7163.509828553162	121842.24729370122	124962.13344629697	129623.45507031798	109091.71826788195	134130.209568629
chr22	12549.634998307003	135271.61981428106	116266.86522291023	128462.58566822743	120299.1422167098	128450.49170756098
chrX	18839.751853048714	490182.7915505393	479352.12162534974	528202.0623527201	330332.62133997644	757189.5269305501
chrY	0.0	0.0	0.0	0.0	0.0	0.0
