	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	59874.325008258784	833945.1750750863	790595.7927560152	855726.338259026	781516.9597624977	844351.4046011287
chr2	49199.74638787108	776363.8746530152	780883.6284606808	761015.8581520148	757982.5985404775	844858.2005768024
chr3	38531.77441821117	643025.7175379395	643714.2040588306	628815.074833925	624828.6075504934	695242.9604788687
chr4	27507.747288569615	543526.9096593193	524793.2659542254	518678.31917677214	485051.64790406957	598039.4208299974
chr5	31831.179189421793	561373.1496463526	564066.5632577416	552151.4074026189	546705.0190649813	606922.8397788376
chr6	31715.026453061673	557339.3805238728	558161.2312459262	591082.1155577386	547961.3095140238	585663.0591637595
chr7	33286.94146911373	490451.63904454536	468805.6736067937	494348.69416682207	461658.58111211675	506481.59083491913
chr8	28832.612881129335	456099.61451677803	451683.6233013434	438447.3833444548	436405.27509451023	507347.07219071704
chr9	29776.323833253984	390294.1647334966	382217.0536460916	395464.9472502231	370907.23256335524	430782.45560968324
chr10	31961.060940119714	439557.08864705195	428901.8604519832	439502.13623075874	411510.49243636784	502585.1714889415
chr11	131025.08766695119	488280.4897225593	442634.53340924217	486941.04224208614	434703.74902100995	525602.2080962544
chr12	29555.968696570017	469447.6839187676	444141.2897750556	490018.00641814375	449674.2848738042	467591.0602555033
chr13	15167.53799027838	280033.4686793427	277711.89611502684	274927.6206335041	260669.91453097388	315506.24906749773
chr14	20732.726887938657	306341.2693271064	275823.62263209384	310874.9496992227	276455.7853799966	312486.61696624925
chr15	20574.52059588702	289899.18630210916	291251.481712634	304620.8996404187	292920.1087079503	314441.3699449656
chr16	28447.054657005898	283215.2014122116	242910.2157204523	324922.3613022716	248513.54087429354	266619.30330409535
chr17	34664.43691866612	348957.6931406746	312376.60854918096	405954.24251617346	327624.3497389169	341969.89935262647
chr18	13936.079161067679	229168.82411758893	216867.77756412586	217493.90409792165	203689.55364152844	261515.79162825932
chr19	32479.3019903916	271176.41727727075	179719.53144935085	386171.8324483219	215479.58082298873	197515.84167808725
chr20	20558.34887609016	240754.6046896341	206815.92594641357	229766.37790612585	203994.19038078023	278089.48976821563
chr21	8246.921852660273	106340.14705960176	105751.25426164811	109481.56499567717	109583.85719366733	122105.09307354766
chr22	18040.61129079042	147787.4979089742	128292.94527485699	163104.10694846892	136181.76303999408	148919.6302896154
chrX	19113.486703500435	391390.8005034313	288196.7079277072	346431.56097093865	261543.72898774117	648368.2658141574
chrY	0.0	0.0	0.0	0.0	0.0	0.0
