	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	66322.06499099743	821432.3247588282	722243.6856999793	673019.038660626	623210.4279574378	2051423.5
chr2	61966.22576747373	850490.658655552	669075.0536390395	557180.864954901	572411.1963684619	1963629.0
chr3	50696.502261584435	713907.937501288	564612.0577643979	472235.65496801276	469175.4758524393	1471955.25
chr4	40625.00518419214	662217.1409668876	409494.362534149	371312.24675963144	356025.7605671702	1107019.25
chr5	42272.12997648678	622928.7907546352	441569.3380937929	398022.097460845	371894.39459696866	1282215.0
chr6	45599.194222898455	622328.260066154	505239.3069230603	452100.5055059503	455704.3954209036	1350106.75
chr7	37970.1569904771	532603.948921378	400334.0610510733	363977.8646129624	339960.2185472357	1105211.5
chr8	33777.82607662354	500323.8201931295	360889.0720610365	314732.3084827184	300823.83412243915	1009480.5
chr9	30537.056748267347	394012.7338760841	331234.0033016089	290158.9557255832	298867.96372829826	945847.5
chr10	34493.44787762308	455211.23295901663	371122.8073652909	313227.98256336886	300845.76897524844	1050315.75
chr11	36436.67989782153	470739.40692815743	386313.89416925085	364202.0704375563	334625.77887210983	1053411.0
chr12	38012.00986887055	490975.8594896288	426117.98550684284	393740.4707035534	389877.89904386573	1015878.75
chr13	21908.63046611997	314938.21651135525	216766.15410094967	193818.7458292217	191262.43054402972	597503.25
chr14	24980.77735522764	323450.9239046289	276822.92991404224	246146.44930260233	244007.06649287505	689502.75
chr15	22859.2314193746	283885.7488743758	250439.07174419423	223050.068258612	208831.96410461658	729903.5
chr16	25352.73576645603	258228.9815705712	271767.98394204443	268159.3070347886	243368.73406635414	637743.0
chr17	33003.7483064017	293662.15370631433	329734.6034685778	332216.45830783003	301327.2354235912	829013.25
chr18	12090.284765742532	201596.09892306672	166520.10960011653	138318.68690031837	146634.50985114244	382587.25
chr19	26799.16460908365	208237.3614060676	245327.42865577643	353081.59233196644	268305.53914764954	435570.5
chr20	18911.17359693076	219082.82544207547	220862.22007105712	182865.7213889203	191365.75699151997	559354.25
chr21	8292.698255301499	113661.87270047866	86829.4446882933	79843.40764933053	72287.13708717439	243334.0
chr22	14273.929143814068	122762.99933608783	178185.10767774895	144383.32095581293	159983.43141560632	338289.25
chrX	16952.753843583865	315076.4168872718	242966.36338898755	263041.44508631725	245970.80893174344	531434.0
chrY	0.0	0.0	0.0	0.0	0.0	0.0
