	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	676552.6858423261	865335.9098146608	925995.9849283135	864458.9720985056	947926.7797207126	928838.5472297806
chr2	677696.615806019	933206.2273243475	893952.7840277813	900573.0399211196	777571.7423830482	927693.7926048794
chr3	552132.0898379816	782047.7957229783	766747.1148545244	756059.8116197718	668248.8665617076	713171.0827679109
chr4	463909.11843372276	739077.804804079	597851.9507912782	725765.1499336119	452174.56040320813	693156.8186318344
chr5	480267.4157579392	692578.487231563	629546.1016048386	686756.747167618	528367.9275532111	684850.8737954978
chr6	480647.33279194235	674460.0022118574	651490.0427755454	668998.3406809923	577754.2942779989	661842.7043432967
chr7	428024.39075082634	596539.2686138272	547705.4684380565	591077.6456238037	469681.05615112203	600706.145504121
chr8	389701.95574382314	551807.625438061	495908.654109148	546233.2958473285	418070.3444733806	580693.6238559566
chr9	329379.68225625326	435085.2775493342	438462.49610463687	424501.29604913475	392959.2312979388	449496.44640498806
chr10	379090.14966567786	505043.25031465216	532461.9304888925	502505.7325368239	495685.5290127248	540148.7843168272
chr11	381567.3055141814	513865.2751787035	505199.10808081063	504889.0571201789	465640.04231619684	547633.0928976086
chr12	376421.3474886691	515108.67247032264	494970.5155447086	519218.52890603605	474658.0238432171	525373.7172023386
chr13	243980.61292007304	378864.31532905606	317908.25481212704	371721.0906502112	243258.43556587127	374584.49950137496
chr14	250900.21588532103	343464.26758894284	336309.7200825326	340586.8364178951	316483.60448358674	346256.161898971
chr15	247562.82803258803	306826.42280026287	334577.1392721779	299118.6430534024	318399.64416379353	325537.71351824614
chr16	236081.94647344577	280473.29669101804	308470.6857406179	294749.37512237753	338360.57925934315	318014.07417603093
chr17	268852.5250588767	296144.08484269027	376685.1942406633	312222.6460058249	471756.4793368458	358237.1458954831
chr18	201782.28176729011	290328.92216739117	253019.10505073858	281799.01956802205	193913.4608199625	302382.89225812105
chr19	173372.8869768184	201522.90733094432	234599.9304454219	283032.78892085806	352930.9421569064	263955.36548456014
chr20	187389.31204623348	233171.42026212858	253922.11565383448	231634.7253473103	247552.6381906222	291483.464980274
chr21	99364.06366416016	132271.29346319663	121138.3308166425	131953.93504371872	106477.84255517116	139859.5825742095
chr22	123025.16361110497	124870.4998757812	170646.44324832186	128878.47764890283	210672.9919435098	167571.26372314084
chrX	216566.40756613194	338788.2805518324	297803.7178073188	354400.2228817708	272162.0884768082	324059.42173008656
chrY	0.0	0.0	0.0	0.0	0.0	0.0
