	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	64924.58916502167	907241.7947066645	935299.8994100218	968872.608961062	999430.5200784855	960242.5346042295
chr2	59383.162604062425	959051.5879721567	981804.410581125	987115.5699851301	972602.0247342372	1033050.6912222122
chr3	48438.03394943645	803406.340071568	822965.2178554356	824848.5738160065	813309.7656059903	841281.8878925754
chr4	39336.37225363851	767796.1568477988	766805.2720746383	772975.1891646817	732360.7877728043	817758.7900061796
chr5	41665.20183626153	717292.8386304075	727850.6559684246	732546.4196642962	710489.1809863375	772995.596919372
chr6	42293.66346535591	696216.0959663858	704313.5701032667	720502.326736999	709844.1652564025	734874.3548308032
chr7	38747.35615164189	617686.4208878233	626553.1062484813	641857.7576495172	621553.3051812487	657119.5822866547
chr8	35092.08208887502	580645.6624382355	586322.0700467107	592193.4984698422	571517.3133763088	635622.6142880769
chr9	31093.249505151813	449578.82063967147	465889.65386011294	474878.7249394063	478860.0130520238	472837.7375233007
chr10	35594.1964988662	525104.4597438514	544874.370095302	548415.3967769588	553891.2041831077	582120.9548324856
chr11	37199.970415207536	538724.5528255518	546746.6753292104	568234.6147096588	572763.530801151	571580.0182982612
chr12	35480.69435929953	541880.9356262726	549550.7823998537	569116.5723324324	575131.4981427863	571722.1747015215
chr13	21047.130703476803	394726.6286602832	396252.68391645694	396842.15231940354	380950.5216340132	426029.29609259387
chr14	23859.149435017443	361735.0984936045	369329.2319563208	379417.21355196176	381046.7601502683	385367.9006351336
chr15	23389.968576599662	318197.00122902583	332964.8675735774	338209.4181380718	355437.5201892694	330999.0020785905
chr16	26068.451130348254	299277.1848209177	314683.2777310259	338410.5479816857	342204.1861198652	321744.3109170307
chr17	29154.389792821927	321067.37152141065	335847.0210884917	370233.65170219773	409380.4294425604	325179.91026938136
chr18	17934.70552809257	304070.0483959864	308400.9304872683	309141.3323126385	299739.8656896322	331503.8422142357
chr19	24629.835437652466	231402.73316513057	234570.5322672365	300189.46061301505	316333.46211501816	219937.40801690705
chr20	19885.280350800047	248735.24795569718	260265.44449087043	267935.4053921066	276245.3431401661	281155.66557661723
chr21	9557.773698548415	138020.61703129834	141623.90040650713	142951.77722735563	151183.7552274065	146417.33088622824
chr22	13909.637001405843	135801.86791870883	148571.19691497888	157185.3041323684	184616.0554279756	144203.14214453383
chrX	17303.002985342777	355388.8885396917	349860.7370121973	351742.19305079925	338168.3136146185	352594.5591035733
chrY	0.0	0.0	0.0	0.0	0.0	0.0
