	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	938878.5629707333	947173.352919671	981531.9247426598	1014140.6646637929	1013469.5465328326	883745.8143234927
chr2	1015817.2681056818	948896.4139139153	962706.2099091504	928586.4575423498	960348.4849097927	956856.0831879219
chr3	828693.1631905991	799469.9256248148	820641.9768282681	778844.5822720723	819955.8636843263	785831.707668578
chr4	800970.3798664747	723277.3990351902	691173.0012198365	680075.9368739066	699507.6149215109	767959.6628805487
chr5	752104.4853227739	702526.0382358531	706257.8646793173	678317.5680351831	706000.4460732166	716366.4382582798
chr6	725830.9403221356	692041.9278558012	687063.4339151246	696300.9712989733	698496.4382870571	689350.1468155
chr7	664256.4185799408	611721.9199003358	605550.2134141487	615312.3782750238	614273.9722157399	613105.7955369256
chr8	621465.9412362726	566721.6045666197	560657.783123054	548832.3645537142	569571.3546983274	582344.2372931291
chr9	478794.98905632773	458536.3115283365	471045.0732257495	477711.8810100255	485683.44791094045	441403.7725116862
chr10	561844.880905723	535291.9538262225	565977.3706720102	539311.9409562319	577210.1936187964	521745.22100510244
chr11	558201.4083186733	553533.3512741382	557185.9310124035	583243.7527231942	571411.8536167197	524205.1997702906
chr12	557377.7801526176	551908.8752578562	552338.8189727891	578955.399199879	578165.9729336255	529133.2902886707
chr13	412789.05727037956	375224.35078856983	365176.5196010579	350550.38645927893	368164.2629729024	396991.0732850016
chr14	371616.29366798507	361908.3927973788	362634.14474724454	375697.44072371663	376469.98329846235	354282.3204860175
chr15	328459.114163755	336106.3017459187	353799.9299689399	351410.97864432965	361362.0466043951	308339.1663586182
chr16	335355.8968784622	313236.6968211969	322787.60855247127	373562.441628554	339928.7776589745	292722.4958372016
chr17	327864.3276573814	362161.84085616766	380304.8733688587	455425.29792430083	418809.32399070996	301021.078569842
chr18	330927.3794332128	295009.09556537453	291028.611020335	278694.5124573802	294632.6725910603	304794.0347183128
chr19	228776.34734444384	268275.81635618437	263244.3510421329	420610.4275886649	321785.94881858415	214541.41140502164
chr20	266910.7719047936	261683.17491368472	270506.521101319	278647.37333695305	280179.08253128966	250786.8865448745
chr21	149350.66584122894	135069.17644171274	134254.44898818605	133322.377881189	138665.164689784	136433.37922553977
chr22	149079.58475524088	153444.07205875937	174345.61828842625	185879.0638158528	194067.775482778	130123.8533671526
chrX	597231.2622552615	514408.1876731377	453131.2755122122	484282.34523179365	482553.0692920684	718582.80670838
chrY	0.0	0.0	0.0	0.0	0.0	0.0
