	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	897183.4507703059	956066.8082153699	1021467.7086857089	1085321.8281523625	1071127.1597553808	963384.6207023255
chr2	1010924.8241178036	898339.8625086398	937509.5707825971	863196.5415293333	906081.4828233705	943803.955474779
chr3	835740.3085640395	745041.8228533214	802032.5563512119	722244.8002969981	767087.9450034089	694611.5092807461
chr4	815130.6413281142	640032.6413125173	616710.6989534374	572658.198183115	573466.9327099683	680054.2049473485
chr5	755739.6142652717	641733.2216552186	643562.9332248245	603439.6037597464	596407.015947336	708872.3976372936
chr6	734353.9393439216	650916.7707949724	650120.2314951606	667426.4485624465	621738.8591645992	665451.6681806098
chr7	669261.2779415481	585091.3666507337	590693.2789887916	593500.0983022003	560645.6438464485	618765.6212631156
chr8	626560.6127835958	529964.4219330673	522821.519526805	489252.6370630743	489993.90990928747	603702.655191305
chr9	466681.7096334691	456255.47704209416	494122.75360463676	492966.3512457361	503384.546309345	456448.9807609526
chr10	541084.6329302251	526209.9382636874	586238.2081708392	531429.5967423668	586796.7864702768	575896.2574747211
chr11	534626.9775757218	555595.1908107573	562545.1341313585	613531.1657680447	585687.8664074403	574254.1607113292
chr12	553244.4159555879	544694.4695233955	555998.3437963569	592349.4069887047	576457.019439876	547770.7944345858
chr13	422146.5831648071	330861.25072737574	320666.7747931663	290757.231564594	300486.4143864729	388569.665752309
chr14	355076.17332498555	355437.25559526635	374732.21787638514	381156.48637913796	387754.0793594189	368857.5080871847
chr15	302195.46062482713	338612.0660966424	362901.9938453595	371008.6204499157	364641.0874858628	331198.08880467364
chr16	294409.04991917	330314.3785597573	344084.55282866646	428897.9006823268	360176.59700622415	374443.5938892051
chr17	283341.9228526198	407668.108382552	446560.001362524	578931.6950029834	509592.2729249717	395131.6573402228
chr18	335385.40005366964	267169.11134898535	256628.38498318344	235231.173216007	232572.410517817	317701.7772341443
chr19	189309.01090906744	322460.0757176711	313665.73698583693	581388.0905535582	399446.40125490003	329864.94657092553
chr20	244681.21773392626	272447.74138737575	285650.9486687761	297725.8236181506	285714.0291767823	335114.04417695233
chr21	143119.95587673038	127144.76924730287	127067.95811479555	123808.18117329478	125999.49161548734	152618.80889413468
chr22	128483.29778060658	173476.4958872772	201330.11128078002	232558.26165498467	220914.26772039625	197077.94804017627
chrX	595845.9754131517	466268.25906375784	299175.3307536087	330789.0386141797	301645.9308554048	320923.82206694194
chrY	0.0	0.0	0.0	0.0	0.0	0.0
