	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	70258.82891227429	837189.1906746522	950425.3213997269	909140.4066110986	944114.53293228	880900.1589495589
chr2	53946.84216162737	828734.2364144934	951043.3021036691	849710.1112318097	894237.3431725645	943758.0566522867
chr3	39914.00511520419	683498.1668029403	787949.85621512	705410.9773083003	726929.5403640044	780608.2686264982
chr4	28192.46996174444	608430.1236640229	703323.3228672823	634291.5039281346	635741.2896275931	752767.6929853461
chr5	34045.503093840925	599287.0756243058	689565.8489915723	620101.0028211569	633425.6014221635	708198.8144587387
chr6	36362.72918478335	591239.4845561225	682002.157656163	636462.2515597824	644836.559750265	678412.2907663954
chr7	38000.885286559635	533378.8002015601	601663.2749895254	563879.5205020279	559775.2750433349	604730.6168448436
chr8	30122.70155504179	485595.55726973317	555620.4485166424	498443.6594613814	508108.7482830708	574833.0665573773
chr9	32676.71393950116	406757.4541545341	465917.9810144331	430816.9297525897	455975.0078248582	441852.2178486048
chr10	35498.35935643567	469583.76599465264	544092.5556067531	482108.30715366517	520492.3255448034	520497.42956137477
chr11	40501.73329862935	491758.50106017006	548908.4711633234	527233.7592486338	539938.6039277505	524952.0523383263
chr12	34066.91804159806	479755.9196063076	542234.7497079943	519466.123237613	531083.5887844766	524230.0399081278
chr13	15800.722229961957	310002.07826098864	363014.42686930636	324479.3109039781	330500.21307168546	391280.14345873083
chr14	24269.102988635095	318386.6770126441	365862.075236074	343979.3815653577	361536.44218736334	350151.3398320558
chr15	23912.329623978952	294230.91123778466	333914.47144712444	311266.92334048817	321104.63016054314	308972.4860706203
chr16	34073.46490091821	292231.3498236185	328408.4948551453	335923.3225511831	331809.5676106378	296378.8285082194
chr17	42436.278987583624	331784.8251954718	373423.9637072873	404839.1990534361	412701.7635197839	305566.77981839754
chr18	14778.95872358335	253628.8831228613	289496.6799140811	254231.92348968043	260561.76869955924	302977.3975243601
chr19	42749.74386322266	239891.10945325333	261136.80023560458	361709.9529910988	313737.3689492178	220520.34709910917
chr20	23230.70933104912	237972.99013297918	267056.07689389715	248429.23880606072	259831.29713681803	251856.82513566918
chr21	9233.165505665727	116160.96956964156	135354.70215186538	123643.72441274281	133494.80587314523	135615.22750242116
chr22	20936.605750815103	144042.08406355674	163816.226296539	162870.1552021901	174078.19439435916	132943.46578451977
chrX	13084.448816456552	307302.6445950268	325872.6476848222	324149.29541461973	315078.4365945498	348530.1181013608
chrY	0.0	0.0	0.0	0.0	0.0	0.0
