	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	51959.64777065981	814089.6761244993	806408.7187228934	805599.455761016	776753.7090950233	920421.1008031924
chr2	41960.928533439896	883238.3261121664	891883.1277809312	866609.1930928907	851783.0530998281	838510.656164854
chr3	39375.914745667396	741046.1864464178	744878.2830096339	726179.1679810957	689124.2050345056	698532.2232673492
chr4	30742.37922460478	698077.9481022728	695608.2045348643	679033.9075489119	628844.5126361651	681084.9748848691
chr5	32244.375405728933	662265.584066401	666029.4362982278	649342.1324161538	621813.7135854799	629144.7125537416
chr6	26175.588168821145	600494.4789864379	606253.6222306915	601260.0469228118	595395.373745226	567482.7442789645
chr7	31421.061498668118	562563.779409416	558933.8573011776	549375.7127682422	514782.2119592924	574523.8771772492
chr8	21529.321264206097	492282.8002237635	494117.46506528225	479446.2269315433	462297.9591265948	489020.8693991892
chr9	19368.59040389152	394963.9981993181	390465.1210623457	386857.8594054919	368026.14704183757	429971.47840273345
chr10	22832.051224302762	483232.5938136023	480781.29326083814	471029.35491955734	455451.5520463828	488272.0355426836
chr11	25388.33165073597	500759.10088889534	490412.1252193523	489836.6642894017	471473.94869630545	524616.3909309605
chr12	23350.990729553585	469299.0688400949	466642.6186939238	468512.66480947705	462375.3339445703	463842.4203070841
chr13	10764.60800563027	284047.95378915867	284677.3456879865	279136.89876963175	260010.30400504678	268835.395563235
chr14	8460.72756632373	226319.13679516234	225048.7220940815	224612.78305251332	235268.34756236742	217278.6406643616
chr15	15547.204911611441	297822.3210386577	300063.8344817646	293230.1424662153	296154.42623161746	279274.5664557524
chr16	14105.863078028196	251218.10999358576	242844.50074978033	259460.46011590364	250764.90458376674	282924.1879579772
chr17	19303.298226716888	295804.4477229759	286312.48594114254	305000.91134824685	312819.89309261896	376261.55528548
chr18	11987.354045658909	280370.19883787946	279076.48996916617	271798.8827848658	255625.77933611203	261331.45881164426
chr19	17162.973219209063	204348.33744721813	177964.8270441669	224619.55029055884	195658.61928573542	348772.0773348251
chr20	12498.256495995494	233679.58695185234	234921.12193220938	227054.85975366324	236847.47960177125	278303.582981688
chr21	8449.801503025694	126049.39589730799	124701.51641920794	122027.11648498598	112993.5457041169	153133.07704521497
chr22	8282.878676080261	126405.48986845672	125308.20762114425	127980.50417614133	141521.8533804814	179447.148753027
chrX	17002.778463216964	452762.44616988575	440873.3511948172	440424.8821840763	412051.1449097214	404494.6107864085
chrY	0.0	0.0	0.0	0.0	0.0	0.0
