	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	66843.64121357707	898161.4212555354	913115.0250098556	898611.1947777544	929455.5595085031	857652.2416400625
chr2	58421.721003860206	935283.5352077358	959931.7886297385	911402.4667292578	915054.6469219293	926070.4876965946
chr3	46377.717063854274	783633.3104743238	804966.2530683654	762900.603871906	753055.2773288321	775793.0841752841
chr4	36304.44861250278	739957.9561634122	754428.9259047394	713198.160360334	679928.0189853929	749397.2733845494
chr5	39964.83258980384	694787.0960365041	710589.0119637785	676136.0890466603	663187.2627479583	695046.9679813046
chr6	41253.80391000565	681044.3914324901	697925.2570555083	673830.4236276282	672918.3080364278	671047.0102267151
chr7	38530.3097972231	600359.9721304548	607449.8742693233	589979.4391315556	577449.0461183159	590801.0134293978
chr8	33563.673962037275	560823.0574600573	571036.3758715672	542741.0034999042	531040.3299674585	559180.7512798917
chr9	31180.375763070395	440747.3456647586	452125.6710814069	437715.8892369183	447067.2302860393	428739.95533161965
chr10	35945.7218710728	512319.054314732	526855.707825211	502529.36641375604	509619.5194523254	503515.69759529975
chr11	37876.703663465574	527698.5563053577	532536.7965569128	525745.2734231337	534404.8931658176	506579.54284147976
chr12	35336.50696160086	531579.0401671954	538132.6133884105	529122.7774958098	534238.1226708274	513501.08760258864
chr13	19492.376903715358	379514.45173354395	387481.0437370201	365161.9997500686	350964.934681145	385468.26874751603
chr14	23956.34500010163	355393.96948859136	361639.636903573	351690.8381485179	361431.1101693357	343142.4117447592
chr15	23505.388382760804	313318.7823716532	319837.00941471854	310904.8916842164	320261.38019017415	300780.50212743675
chr16	28710.621180303217	297299.8485605688	300307.5747930384	310143.63235889527	318174.63847537385	277909.0973112261
chr17	31847.90115207285	324912.40775573906	325493.8460899296	345518.55719317653	377100.33387436304	288962.21014857566
chr18	17333.30905490983	293313.0065038361	299665.2804389291	282858.7303845128	275172.9379907243	295264.2499174816
chr19	27980.4033162104	238038.41772693204	225673.23310627427	278423.97055818007	289381.86325828114	200687.26122612058
chr20	20773.603858988918	245383.93269299393	247676.35319758777	241729.79960924442	252186.80354481383	234040.9592914826
chr21	9167.052992352657	133301.3384111456	136671.25863499814	130664.62578340188	133322.41930256193	132287.78504655635
chr22	14993.588705181886	137254.3558499576	139853.5845604738	142519.4349794701	160979.03489805726	122378.60537758704
chrX	16521.908884051823	349173.1960084124	350345.4581202637	345779.9756801755	335762.6588950218	351581.27931194665
chrY	0.0	0.0	0.0	0.0	0.0	0.0
