	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	66757.9253368385	405676.3066274525	739063.0804119412	807711.8026018064	734650.990196673	707184.6787798529
chr2	59965.56148316489	368105.9779477839	667441.9295868413	801245.6277642209	623365.0282423772	710864.7156580434
chr3	46406.004260931164	306108.3684388969	541905.9690773383	673406.6860212481	526285.2058866143	574078.8675752231
chr4	36529.36036560348	241812.33588472244	430437.9821211537	628803.7093101401	410821.8032953502	516096.9023933373
chr5	40320.15162052512	258136.40418979205	442312.3288696866	594146.7493083932	415172.3831714945	515369.1561596963
chr6	40473.74883573167	268463.3040403275	494871.0194213786	602136.5626509761	499532.0370892798	490689.2521309869
chr7	38079.75762529188	234041.09330725297	377338.802993246	514997.9241147092	380660.11463768256	462420.6468783931
chr8	34677.43715211675	212080.62284459014	353027.26920604415	481379.4301292564	333074.77855897497	427477.7333854627
chr9	31823.962567237395	194141.89740752778	325608.40861462173	385325.13736953697	306287.12458045123	357314.0512154589
chr10	37226.41117457561	215409.73661694923	366396.6327885844	444119.7183582366	368134.74984158477	423375.18218211323
chr11	38918.63900369518	230823.86211506795	383891.64532603807	464832.7837166093	385173.66344743146	427703.00469726976
chr12	34668.05954094082	226529.78640819562	398868.3249877257	477977.75740399846	429156.8257083796	383384.65527786565
chr13	19966.242146814617	118963.4133282323	208408.05685901188	324593.5463576128	201434.96261208708	262195.8582088459
chr14	23722.398416323216	145816.63330602684	247198.3962855491	317020.901869049	257811.21205291495	271794.41046177497
chr15	23776.57065870985	147218.4283631473	254099.79985880965	277573.32890530163	255117.48434730683	250808.35055679135
chr16	27279.337116979805	139499.20873658202	204553.981242348	273793.60475697735	230638.38632400625	253585.17252437613
chr17	31682.119626899817	169366.53831051826	283916.5032703844	310413.22406269156	322776.2317302064	285538.60055428935
chr18	18060.457886255906	112830.64264719235	187371.83979723716	252455.7125147938	188701.7976896414	218108.77132594996
chr19	25651.268443799017	122787.26994365956	152807.35783823027	267869.208637225	232792.83831715587	190889.45063075388
chr20	21767.505070394276	124717.91279907503	189996.25772418213	211539.37586712267	191329.98448536056	242017.62348997075
chr21	9131.597288654	48660.547567720656	90872.91244598803	118189.74639026508	99142.40096274714	98252.2645286378
chr22	15806.270599183814	71484.25358763587	123109.35592082143	125802.65979921822	132084.08092092376	130793.31705568504
chrX	26459.54671098962	172065.7749509722	201060.50421904202	441144.75019428274	204204.7903302958	555415.7017228182
chrY	0.0	0.0	0.0	0.0	0.0	0.0
