	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	938060.7158545655	767247.6737197761	855430.1552363614	897316.0418543486	970839.423446317	882912.15512948
chr2	997319.9940378467	739806.2273549411	899947.5595903695	871942.9212637114	841655.527911503	936204.5080098296
chr3	817735.07317329	605372.1429282215	750747.1640083028	722186.322308486	666010.9605060539	777442.4954631446
chr4	755751.3447445632	530856.6112081701	706235.0123972212	654225.721176119	539604.8084375642	735360.7237348288
chr5	734146.3162973224	527999.1036215355	666678.8623002165	637220.6559963765	579149.790550073	696176.9920314807
chr6	708021.2171243024	526781.3385542926	649307.8131610306	639209.4311841431	608454.767743386	673498.1591180472
chr7	649975.0852469775	475840.1799348701	570317.9610613964	570554.3214332641	527846.1622938514	597126.3221822643
chr8	603715.3755941412	428289.16518487956	536696.0359153241	516686.5798678539	467265.4587656575	564003.0306519644
chr9	468860.43861512496	368516.9036966601	425160.4582249788	434443.2584428364	454338.3333172463	440225.90509829
chr10	555597.8160471239	421042.8707149917	495656.1903808014	493379.4432531128	501744.397743202	517825.5503329243
chr11	548141.5532059477	447728.1383545909	501951.9694070065	523923.2165453167	547271.9372913426	521437.05569975055
chr12	551373.3097149027	431885.2298791705	502940.70979078865	516080.5160669472	506352.61116177676	522532.2491113973
chr13	396980.7936689047	267570.000311233	363567.94374891504	337590.2146063498	283456.7242931771	381319.59099519136
chr14	359766.08235912974	283254.73138394445	338312.4645279362	344142.43929491116	355289.9357734275	348539.9126086231
chr15	325433.83690854546	266384.2966043709	299799.1150908033	311381.2992267052	325792.44340353954	310965.9193953065
chr16	332359.66320001904	268439.14635823533	284645.58778563736	324844.87476530386	360069.6312058752	295786.43288785627
chr17	331225.7311750255	315479.9831345868	303916.78623420827	372132.8020329739	472286.2793609186	311001.67027574364
chr18	318583.5287014022	221673.32123994167	283011.51496709266	267024.35479796707	238742.26192534974	296906.23173871415
chr19	234668.57347265488	229325.7515994863	209613.50062640393	315505.7266955996	369501.4035962161	220567.30680854098
chr20	264663.7657246965	215260.49779149052	233829.26447847503	249423.4189899832	276941.3228711834	249060.99229762287
chr21	146231.03169651577	102839.6683836954	128160.89324937339	127009.53729747453	130233.45480878212	133375.4803417368
chr22	149553.33590449026	138217.89499553584	130837.53388568155	156197.40213723743	208724.95075283997	135454.02337734235
chrX	580587.5106597302	402684.17066856625	524070.81547443196	488200.19312608446	373074.5482725304	602738.2203926521
chrY	0.0	0.0	0.0	0.0	0.0	0.0
