	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	67120.20752926706	893927.565972117	907494.4997164267	929747.7209739516	967342.446467799	960690.037140938
chr2	58184.81114914547	929874.0935911512	929243.7005263573	821773.8208978148	860441.7854436082	938510.4357422839
chr3	46119.94017590599	775619.2894900372	792428.0008042281	686813.7264522318	736269.6753301247	726480.9187600478
chr4	33970.28612122164	739236.8423457721	697023.699066151	588238.3787464029	562987.050275467	703356.4765340508
chr5	39573.65957176574	693855.2973964529	684751.0004129638	592080.2498123005	601523.0529285489	683053.3985198379
chr6	39610.7648196621	671971.4020622054	663659.3314449791	626755.2732940383	613484.1175370286	662015.2629696714
chr7	37588.484407841235	598896.9533607624	583701.3160999181	544555.7378124816	521061.3794447208	622348.4031845772
chr8	33490.63829943334	563331.5562165196	544994.2284287391	474681.600253692	482667.95421425375	591322.7054172854
chr9	31609.73175522741	439345.5001893597	448578.20626537903	427512.1901111065	449115.15137424105	457719.3358551722
chr10	37270.04422291125	512628.3946402267	537354.1114847552	480992.6277057662	533305.9438864774	543434.0324011389
chr11	38441.80499366951	532577.8102347804	525724.5403267086	533412.4418545646	535438.5958468681	565287.2233707831
chr12	35816.35162332354	529443.5557253005	529672.6334013096	530312.8800342808	539323.355150189	523776.73036851163
chr13	19035.035149859264	379011.42546005227	358628.234871695	298950.6804607266	295575.5306561236	375634.7787730768
chr14	23770.301448962284	352611.0461857285	347907.3478861229	334888.63816503505	343065.8535875601	365176.58994135214
chr15	24204.608241070808	311550.0601534796	326070.95684200514	318154.4278097997	343663.8688417361	319306.88059689704
chr16	28204.461054257492	296553.80268405465	303937.2817008058	343631.01488670555	320338.1281914729	338546.0231499888
chr17	32581.53282894455	323216.02918652043	336742.17532871815	428840.24232241313	409579.0327994027	382015.86856971565
chr18	16910.61186276917	293835.18984	280399.4830787528	236698.6896955326	235378.26614704632	304203.27563830296
chr19	29339.321561161236	235714.97582392793	236685.94163546688	407847.41450755997	321682.75837906596	286069.0419857505
chr20	21438.891404383823	246516.6083231566	251219.1399657708	249806.61606945292	260925.5591395827	308023.37811146874
chr21	9002.566020720824	133073.91657851293	132025.66110960295	117120.98544776365	126828.32463981722	143756.99951538592
chr22	15286.172843258826	136013.77902957963	148689.24415082956	170866.63912834908	177865.9783770175	182561.94251882483
chrX	16097.862342945302	348046.8584007895	330933.73723323934	324440.846553576	299593.97319126397	316141.7125516067
chrY	0.0	0.0	0.0	0.0	0.0	0.0
