	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	64595.273491599255	923699.8912407444	1011715.2644434252	1033384.5445733743	1059693.7340835747	971452.4214127283
chr2	61352.58906022701	876451.5108298839	921428.9570238686	858754.5020289788	884585.8463978592	932982.743849816
chr3	47866.41766980152	724507.5369790265	785179.9579156411	712216.2127426618	745731.6270390257	667998.5927355287
chr4	39095.366245818615	615386.9643725512	599003.3906718743	586998.221289122	549918.8109670946	652345.075552851
chr5	42729.67349723616	621302.8687483448	632193.9925254297	605052.4020717399	580460.3843609794	695735.5615864992
chr6	41137.11050656913	624946.0019726555	639822.464544586	657878.8649765404	608659.7228491165	647330.9272611846
chr7	39649.92818382429	570561.2944168653	585178.9827805257	585942.7076632539	551133.1168294846	610820.4833127338
chr8	36781.83012409134	509608.53183029854	511106.70483049157	491284.54367523827	476064.84732677654	594889.4807925449
chr9	31409.409315906007	444786.77836235904	488384.22161967115	473207.24013513123	494412.71549113805	453971.2583977715
chr10	38186.667600726614	511679.6217308956	578961.8851320994	518219.74275657133	577114.0976551289	573433.819318315
chr11	37856.214151107066	531724.4133779254	557683.7328473941	582695.709391851	581169.4214187526	580305.555758473
chr12	35258.70021850822	521283.8551566183	548662.0151508	572082.0020645701	573851.1872914813	546310.8343942108
chr13	21146.754624735197	320731.77119398955	314158.4806789641	299091.2469218022	291571.6757353467	374735.0315708838
chr14	23698.768547878975	342451.68766968645	366874.58024581935	370312.5251594604	382125.17263019935	370223.1488759697
chr15	23523.845511612486	324596.63960739924	358987.4350829247	355383.8238863838	358409.5113507698	332686.7056969305
chr16	27028.809420474154	326157.2985258633	342759.63647465786	399648.60628672363	361889.78828087257	388549.1520297599
chr17	28209.97226978186	393320.0507277107	447244.9543175013	529452.4190091778	517239.34570559877	408619.8223868146
chr18	19147.635720408616	255829.05622932946	250610.9114577101	240827.17013548908	223482.64802159343	312262.802584884
chr19	22133.932416614523	300535.58208118635	313672.11372718005	516607.83682605095	411720.15036349563	351239.5907062903
chr20	21625.976700689458	267968.81621532707	285587.233397388	286109.78620252834	288473.1778744671	346783.4336784829
chr21	9166.903087847308	126788.21736557707	126141.89576279957	123386.91465028815	124319.57476707535	152321.37923272044
chr22	14169.038466275393	170133.84394841772	201559.13383395027	211905.08255855355	223544.72028525517	209843.1794795912
chrX	17241.733089211117	314618.36149411317	290251.85888430674	314573.51209430327	293264.8105087664	309331.0015756796
chrY	0.0	0.0	0.0	0.0	0.0	0.0
