	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	63502.18674081089	853315.6826502803	834618.1671876684	859850.6496112754	859061.947972434	880914.0211534254
chr2	55592.21270089066	831678.6923029346	846716.62903239	756918.3664168919	835773.0118844294	889399.900264317
chr3	46567.757929101586	682589.7453173848	721215.0875818675	632314.8181931399	714924.4938923063	630283.0226428325
chr4	38978.023220515366	603083.7907328072	641162.8554598722	532153.7872726212	635433.6006327203	634641.1660063192
chr5	40509.28500085547	604796.918110516	625345.4919766457	554357.9056584655	621915.7761166417	642116.1562897632
chr6	42304.20267470941	593340.0974123719	626659.1601765777	588989.6543533762	622070.946372566	650002.1964979179
chr7	37408.07542341762	536070.6215810904	545395.7470576005	530371.767449504	558671.7406412578	593838.552320483
chr8	31962.856571288874	488492.68895103387	493840.3493625854	473276.1811179725	477961.07040988124	516441.8872641473
chr9	29178.786143962672	414755.3335042121	410502.4871729	397175.21793302527	418023.72668661916	442115.6413590747
chr10	31951.647982703802	475929.9390167871	465531.22777837416	443772.0392304656	458831.45347736456	538285.1064702263
chr11	35323.6227344174	503172.2222121085	478295.73320334597	503734.80860964843	469952.0385409362	533884.578071013
chr12	34711.206685343	481048.26175777114	480846.4947163649	489383.5113215896	500808.3759278324	543677.7144716034
chr13	20205.28779442199	311589.13790917455	335273.9222666634	274211.5260073199	329096.47636920307	319603.5425666516
chr14	22559.652639752712	319409.0300884506	310176.6459375987	319338.1445783505	318108.6402901152	334347.5221597604
chr15	21481.881386806912	304893.068234332	294432.1812642719	296808.1741783607	297223.4783509839	326161.5055985127
chr16	22888.798926600542	305405.1503001226	267988.1673140518	331030.8816161571	293451.63600574085	296325.20469723427
chr17	28439.154531721586	347637.8334827234	298714.68120347825	399674.1291656219	329466.830003331	409154.05914996815
chr18	16198.88593051946	253872.11667874266	264636.6435631302	231379.3138507083	252895.709659795	262942.2346553757
chr19	27672.84687291049	273903.8664708639	190992.2722518517	403426.0302996035	237191.42157908488	268025.40000014426
chr20	17693.373295481415	250244.06301555262	220235.2519088706	256646.49034266398	224978.76594855537	264414.4428530461
chr21	7822.476014491264	116404.1905125205	110599.32606769705	112424.91422885949	113807.7032901405	115461.51160006157
chr22	11958.478834099415	152648.30104056004	127114.1049211233	162036.71086708014	142500.70750552756	199945.66960067843
chrX	16923.546391754684	328400.6166396812	356367.8858773124	337631.16639913345	348929.7666306798	333122.3392592995
chrY	0.0	0.0	0.0	0.0	0.0	0.0
