	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	771109.1859427801	905361.0321764335	919791.549821685	895853.6138454375	1006904.113628608	905151.5730611302
chr2	792693.3332991975	910281.8623836864	908297.6717841249	909724.151172712	850473.5528457868	929888.1008762504
chr3	647680.3758233502	759927.8084485811	782394.4274626672	764174.2411837014	734881.6143823026	733153.4926072108
chr4	570329.0412549906	678332.4617227972	609965.4069697285	703290.2707716273	497848.75424293225	707052.4401503492
chr5	572244.3560687053	659819.4629922927	638088.8570611421	672338.95743649	573167.002958097	688073.1537880179
chr6	567666.399660145	655921.235328602	661135.3706034609	668568.8661891866	632028.7971808048	660424.7078895579
chr7	506536.8310078081	582867.4206061448	556613.5166430712	588791.4253179881	514756.3909140391	595065.9405797463
chr8	460866.82057414914	535830.1931271597	500850.8101134341	539178.5178091776	455955.2925148645	575867.1197943506
chr9	381060.2641157265	440399.6848925751	435931.1465136176	436396.75571193773	425748.9641072845	442581.9019571524
chr10	443720.3648458569	512698.83911967033	534085.9422660511	507706.1606941292	545883.7547122728	533245.1545684079
chr11	440609.02992790384	529834.6077147988	505504.22692755633	520216.34998007666	495297.7699412135	535518.3958176727
chr12	437227.87526650244	520956.31979331875	499445.06761508	527285.3582159	510525.76077399025	522900.54290803365
chr13	297069.09228428703	352470.92292019475	322318.474957443	361933.3933424475	264442.9371286121	374418.086132552
chr14	288051.14662241965	346869.6172864721	338788.2412577142	347776.3633210562	339710.12277181185	347896.19192620507
chr15	275083.43236593116	320574.0356569809	337855.89541575254	312815.12748201913	348055.4486098214	318961.8228118868
chr16	267170.49466475064	310846.32132368226	299811.3626790949	308425.84309091687	350412.80546002643	312708.3098229071
chr17	291657.368927302	357494.3358769724	363626.5524026825	345017.9667917151	489986.4186277079	336572.3927601463
chr18	242616.4778082451	277274.4843679502	259038.87060962882	280121.43588978925	219427.74869476727	299186.52295985026
chr19	187814.66863645625	262576.8692242331	218283.95568653522	283655.3618508862	345741.801171381	242717.74988066452
chr20	215653.365586836	253854.1231410635	252796.1514893732	242359.29929694024	266590.0697661162	274989.79213397513
chr21	114639.3997376435	127665.21360169827	120532.17861033454	129215.3717106013	112997.2037430527	138255.5592691156
chr22	133216.82136839064	151952.41562832007	163745.78238061763	142323.3299342357	219748.59282796213	158619.34559918143
chrX	263119.2406090223	330996.47510273417	302899.8668586155	345068.1146222461	280255.03132567747	333375.3449099069
chrY	0.0	0.0	0.0	0.0	0.0	0.0
