	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	937595.2064189342	913564.3262617933	944514.4640831834	918290.246585784	930792.0218980914	895647.6668688748
chr2	982950.4299766144	947281.2343355111	955053.4940271479	932946.6527823898	941251.9888897139	955736.0294318482
chr3	836056.9674399128	790534.1502377327	796129.9573609211	776567.558802306	783639.2824943983	794197.1267822012
chr4	797257.9070158314	740183.6475653771	703024.2060834809	731462.7595067427	709040.259897806	765914.094762135
chr5	758738.2376721359	701974.8178536305	689839.06294595	693045.2724431454	684069.4913945765	720616.0831782542
chr6	722523.0182462762	682981.7261144818	682726.8851817205	690992.7983368639	685672.0028125832	689135.93514812
chr7	640279.7486868366	611312.0249835296	605144.3212932345	606383.9336435171	603737.6852369107	616298.1558743453
chr8	621601.751617637	571303.8652448008	562882.5116013832	559582.5954710116	559597.6646779991	583808.6176893743
chr9	469571.05082494713	451644.8520056589	467614.9489788502	446813.6575374388	460169.4350760534	447030.4296887908
chr10	552270.8846451723	526155.7841135227	543477.3165644308	519016.481934007	529113.2335514186	532571.812676548
chr11	570094.9673010244	539591.4379782409	540900.6259421763	534067.081121113	535016.9677026737	533248.3481416302
chr12	559595.4336727763	539573.5859693335	543757.8270841236	542731.2400393164	544419.667175288	535091.8968982068
chr13	394051.28344695654	381739.88276048424	366967.3628018717	378627.6523146486	367570.4210235244	397493.3712707155
chr14	376614.5078677983	360286.8406513495	369205.8664075722	360489.7241332896	366986.72257487924	356966.57018519775
chr15	319687.98285855347	320494.87706919655	336602.58316719043	322441.2073761861	329036.3573987688	314703.3968639433
chr16	326720.3156176376	308716.76613160805	324154.1567917071	316982.7201563482	318858.71426856396	303214.1142086685
chr17	323209.9645123813	334903.312273063	363384.7589964493	352873.89914545376	360275.1089139766	311412.36553899234
chr18	324463.0597632802	298311.69505010743	294787.9177264033	291165.3404651809	292880.93063999	306451.360904187
chr19	236467.65499018453	247528.3136591047	258636.91063998386	297001.8424547223	276010.4518984294	222318.07744291355
chr20	263263.355549245	257343.35118063932	270383.6471389386	250801.1196335428	261476.10418591226	251746.69967775443
chr21	149647.79288861892	135743.6551332343	136631.40137497053	134261.64870788163	136970.28940406002	138254.80181970625
chr22	151583.46207572942	144337.4433454751	161263.71932382951	146219.79802547192	157392.68322517	136062.08368291668
chrX	349792.3288805451	350839.9563265366	338892.8413642909	347720.1518228697	353518.5975968646	352754.0263326973
chrY	0.0	0.0	0.0	0.0	0.0	0.0
