	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	802621.589032198	764549.7841025573	917686.950907576	916974.4650837516	926605.4465723609	890342.5938751205
chr2	853990.2083644057	777071.7771562153	952352.268879414	855141.0438767383	913260.1147125958	962137.5297643937
chr3	706390.2645749454	648909.0059995819	804451.9831818711	715121.0674692552	766919.3872135353	793792.8580962678
chr4	651493.6527346494	585347.490825301	728525.5906498595	637627.4659188997	665985.4552586142	765119.0537440515
chr5	621632.9810055011	565216.6458380496	694746.7992175664	618014.1753030957	645920.4766118337	725238.9400537724
chr6	597339.1383590268	561392.457591425	689642.6613447474	651443.5148235412	666554.9757750065	692834.9469213734
chr7	560325.8330691215	504690.86152321345	598305.0293555616	561598.752856271	560928.0975484349	614046.5203997844
chr8	513297.1850818955	461246.08856601117	566754.8435794408	502154.80112688325	535922.1768644104	583311.4278260715
chr9	410724.28877630265	375962.33535747806	462242.9576909613	435248.6392394272	462976.77081433294	442556.20243717375
chr10	479521.18646723434	438462.32770463097	538285.0025062029	485368.3206329093	536824.3373891646	528020.5407249884
chr11	481050.1451456052	442097.18166828196	535957.0729683639	528800.9920876069	536712.9875336472	520653.07653974055
chr12	474955.43103820184	443993.9488375244	531289.1826976882	530449.0638688524	534719.4700071265	532420.2951629843
chr13	329441.1399104606	294148.6195727279	373453.3743346964	326025.12225320167	340649.77311357955	403448.41079578735
chr14	312096.95588636317	293472.2779993442	361332.2344768365	348437.9779804613	362242.4741607051	355844.074421159
chr15	276949.0973171026	272451.0750234673	330741.7135167693	317365.4273320062	334304.1369788411	317670.8406876592
chr16	279635.1650996438	253081.50289748894	305603.2414559206	330982.3598929888	317872.3623845519	293218.88849640335
chr17	272686.9673132234	287651.95922995603	337384.1615519686	402403.26193910546	372421.70961964416	306379.45448634995
chr18	275682.75484364957	238958.54912556714	295076.87454569066	255421.91053193912	272974.04307723505	305592.7717739062
chr19	192824.31778110267	206173.54914347385	228630.30084432865	366315.50996523444	255731.9720798318	215825.97534403155
chr20	232632.46101064235	212158.18866708688	253701.36528920184	246988.25031064762	263315.7890280902	249982.98597948256
chr21	120618.07981923228	107830.12947280967	133137.84712768663	123340.66934300239	128424.3175837219	138890.95117381512
chr22	128066.46617535767	124738.75518917282	150424.52913288245	159861.08783802344	170777.46914217068	130902.70639840454
chrX	483808.0766241533	429890.8667229851	499346.99350441905	449431.55153537303	428608.19876759127	746373.6596123106
chrY	0.0	0.0	0.0	0.0	0.0	0.0
