	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	62623.15774430335	649490.7403093218	713462.2760241649	752443.8708811016	696619.0663185182	722715.174196952
chr2	58347.70914422723	608904.4610113556	667756.7678411981	678972.932211865	601480.1646454424	779789.7354996353
chr3	48091.926860398795	499024.85299558594	530016.6195154601	560732.4399560427	469606.7210550622	645747.5226865953
chr4	40375.364290287376	428122.0455131001	414381.8439297815	484680.6179029698	373247.786903261	607663.8930400955
chr5	41293.62735548317	430800.8782448356	455256.778783216	488120.59296416136	400573.2748909915	597987.4438826224
chr6	41560.26364472433	433643.96913082	459309.7491374077	511088.82753085316	417576.5487383703	555745.2187402867
chr7	37353.973959638184	390071.7525882283	430853.5311880934	454700.0120594675	403811.713650549	495357.72125550546
chr8	34508.22652228177	356162.4609240501	389011.0045617022	405672.22088816995	351919.4913158406	508875.8675669264
chr9	29892.8986025773	306093.7377120715	344276.344788461	352860.04727742326	334138.22452846175	371695.7887793087
chr10	34166.62145942897	351203.9771726366	416295.21079534385	400534.49223063095	384041.95493701246	448821.4961890892
chr11	36141.063731492315	375747.6275798641	403484.8127755654	418016.0607931155	394378.24192481744	440650.1588065513
chr12	34135.98475094065	364348.6426815601	375209.7929036413	426998.42095391714	361444.9252156786	443634.63078793435
chr13	21460.589190404866	218875.20729815547	230600.45374626562	252621.48835370253	210519.03259141356	317230.2822080744
chr14	23625.000268303604	239912.7295617841	264612.36663630995	281943.5013638443	253907.4125240628	289980.37445702974
chr15	21289.06486086845	229194.14229315045	262639.28786331107	264590.01835423155	247966.31312186545	263374.10246591887
chr16	23012.634389320006	227687.60747857587	282174.0004819575	283533.8919434973	295263.85584761336	278667.1640884265
chr17	26859.471037722367	279018.24254020443	310049.3046738466	330575.1946041059	358430.11002326204	250360.95973102984
chr18	17359.428194443877	181933.61511107837	202629.13773764516	203944.89637847518	178355.13522592053	268306.1733207738
chr19	23225.032374481856	221336.86229411385	241919.45100465495	321438.4642225111	312821.47230303846	178613.5570409001
chr20	17349.332621429865	186534.2761173689	225305.59304475292	207163.51737430994	217345.84568576416	230676.56302602534
chr21	8551.992858898639	85245.56862819144	94910.29166198538	95748.79534780128	93506.34842671828	115347.85287752895
chr22	11864.964128413052	118074.99708134173	152893.4456723562	133139.59846412303	174787.32774112027	110587.0209604894
chrX	27879.56226745024	288062.0075705368	288242.2215233862	359323.0048126887	199686.0905365964	680004.2167190628
chrY	0.0	0.0	0.0	0.0	0.0	0.0
