	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	66121.55239346554	774472.6105474253	523834.9979183991	311444.58208122913	382574.61640120606	770117.0830525602
chr2	63520.61555284246	777776.9468700888	513392.0812907808	250404.19594930473	380204.10404993495	745352.1270160796
chr3	49972.252558468565	646349.7208406995	395724.232292032	202385.15683550565	277890.85065738886	598586.2661028493
chr4	40940.364835316694	586802.2049986261	314369.9634763131	160490.09284902358	215719.60843927882	473569.57561811275
chr5	45072.33297567959	568966.0113849528	345000.6683614716	176784.52733714986	248249.21882001165	510896.12819563336
chr6	45741.72405975726	562076.6078150389	359773.5264341518	202966.2571253586	255699.6981148324	509247.0495356229
chr7	37735.95480036406	494673.43672904576	297506.4891661578	168831.88497090258	215859.21573161855	418782.5101945534
chr8	36387.1797400897	460635.75771927176	281135.39579233446	140195.93461809677	197503.8888393536	443822.8244126594
chr9	31081.238377942656	376313.9198816169	251510.0178573672	137305.7221085952	188640.3730079838	382406.25267904473
chr10	34986.152455593794	432421.05020400346	282543.71417764435	145052.05896945458	198013.26313832877	457070.3994726229
chr11	38247.240289757545	457116.2243550909	292364.07032972964	171021.4655157853	225146.68402037068	487772.320518259
chr12	36340.4504312365	446874.08806859504	281681.2035592671	171828.4844410919	216667.09902099587	399835.01697679906
chr13	21772.218951894112	303501.0116882504	174996.99889770162	82195.15882697831	120031.04457842276	275404.0181935886
chr14	23660.167722293038	296091.99055899493	184743.9463106994	109283.01839007939	134975.0267995521	273203.53100243246
chr15	23931.630984742747	273302.5638920082	200072.07451154882	110347.65230793197	150337.7303164064	295684.88164033863
chr16	22082.74418881717	262100.8241964983	164379.40592649495	118145.93069976667	134849.3345795815	249568.2647189109
chr17	28085.82786246208	295837.9702447238	222651.344853004	161545.03691067596	183819.66135887892	333774.95161811216
chr18	17539.856005095597	239264.52997036534	141857.66275002915	65977.83493055425	94407.71779209486	224922.36117255
chr19	21502.541845243653	214147.13673540473	119977.85816327207	158831.29059675764	115275.9310163627	180031.91000463313
chr20	17450.571145105452	213956.1394825198	137648.8820812076	79390.16270999069	100931.34246285331	265521.419410198
chr21	9167.640061226395	110989.71814401104	68011.2396414624	35010.37085679084	53211.783734012264	103417.34320312066
chr22	11417.212837178538	128429.40200575256	95646.14412457643	60509.385211766836	74365.4918924366	147625.68317797908
chrX	23875.412954668136	436679.9741260485	142175.36019396337	116622.769590226	102554.17158252312	599970.7420147366
chrY	0.0	0.0	0.0	0.0	0.0	0.0
