	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	67663.5783602577	886953.1719612539	898541.7330463976	873973.4034088152	943836.2463987353	913960.6292087564
chr2	55739.27297578877	904119.9612162319	912293.3952060955	892390.1467704577	820357.8574216119	907448.7704973383
chr3	40878.19553918941	751562.5431096823	766970.903398842	752075.9533328572	694665.7658927226	704591.723062753
chr4	29457.976141242543	695391.6359324319	678035.0638378948	701374.939748212	516752.32421192905	660551.380927504
chr5	35451.65999835496	667080.636923345	668168.5090232271	665282.9454048886	585529.4682532192	651902.6065108362
chr6	35948.63113128221	652466.6316216384	658885.3516916883	658314.6904511962	596730.8773508016	651313.4418385101
chr7	38120.14705865032	580984.3667325617	574312.9517901673	577084.3930702282	520312.32537089044	579572.5049648891
chr8	32232.385686941314	540555.3251549136	531579.3640432002	531941.5228118543	461521.603106165	546349.5597529414
chr9	33095.55836059544	435016.61224368465	441716.58804085467	427519.457990977	442913.18393870804	441079.30577789445
chr10	37667.870687353105	505791.8511561247	522571.2358590352	495629.160659614	527681.1283105428	526579.3354810575
chr11	40358.75154540576	522442.0210681173	518049.0982250361	512216.1046082032	533104.7347298653	530901.6313555748
chr12	34242.27019703103	517959.83137351606	517142.81706571777	518642.5717250894	516466.906621508	501042.84677731787
chr13	17065.11539569008	359018.02053342515	355031.3691825044	361626.41025024385	285444.0851643487	353751.8073873122
chr14	23541.30214623129	343684.2195409742	345785.56572669547	341981.7939466133	343591.56259911	341916.41706133063
chr15	23909.526552901938	312556.53188100323	321524.6756031981	305358.0911745816	335907.02657997736	322808.5221093472
chr16	32472.31858669007	298727.6748270531	290034.22082614066	293816.6291041548	300242.81333799096	313762.0059588442
chr17	40021.07532043001	335592.3433260803	343998.9966783194	332455.96457517403	442683.14394695626	357758.0206150318
chr18	15750.958086703811	281017.5499148244	272831.59610686655	277361.13189683756	221105.22587174375	282874.52608338994
chr19	37153.20420408505	246466.0020637247	229617.18559028974	260523.53498078373	316613.4325764489	266974.49918157724
chr20	23714.050385992225	248232.17850643568	245476.89533699155	234566.27531052686	250338.3920298884	282367.03773622966
chr21	9632.468130183452	129764.15808313759	130773.530624715	127856.6792987843	123402.36205186528	129652.04203614028
chr22	20971.99643365373	144181.49021418652	149988.75024790957	136808.65055468853	197646.62388956535	155339.66117600884
chrX	22746.575027950563	531972.6643966282	457188.4006898564	522980.77267460234	312579.44633903966	910417.0105697629
chrY	0.0	0.0	0.0	0.0	0.0	0.0
