	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	67708.51077038384	873695.9432663721	922452.3833925716	456405.7801392578	898418.3716254546	722977.3579319529
chr2	57275.804242880826	821807.955301286	773481.9934578596	419765.64750047965	786081.6276601371	741105.935471742
chr3	46542.11005627651	674344.0459192863	611265.1246153901	355276.0178219107	652134.67632838	589149.6445799606
chr4	33993.153593901276	581948.0614984805	402102.7991030703	312006.89320133335	460882.59908720106	550536.3021208214
chr5	38789.6219194282	588943.8465115039	495449.82466743136	305834.041097618	526397.3413508413	563188.787919474
chr6	42531.124819687655	592018.5646336672	555094.9268912899	342246.7055884879	568770.1010186555	560448.0614374775
chr7	36378.27559830416	524413.8493482952	440781.48350914003	269112.0962203921	462561.43447875325	449789.3351655058
chr8	32149.506554732852	487964.5022574269	416077.087893445	235040.07526079606	410620.14280244015	480757.42236968136
chr9	30326.259363096113	409650.5320760483	411729.2443636499	199284.3835021021	399688.03229926125	355939.0662347172
chr10	34156.81051576128	471762.0926299439	472624.69969807344	223867.0102880625	453380.3551745558	425526.6106821132
chr11	38282.26228562491	514247.5529686123	505816.82494241436	246250.88209297752	486764.70849071	423372.8536044223
chr12	36508.96960754144	494290.10968447727	504365.41886137956	268028.70571437635	501644.2444713577	421198.5592897468
chr13	18136.668478587275	302427.0583447132	216657.71615318907	163731.3312174401	245205.7525348176	290492.2451484615
chr14	23844.7912885976	330958.6211792063	308704.8981234259	161634.54621076264	318983.3121493047	287003.34279864084
chr15	22944.714822166414	301402.0179258709	326921.3916054852	150321.15144616165	324034.3476667861	269735.1294808089
chr16	26373.784995993214	305200.1606939106	340454.50369152066	135182.7648886431	316156.8600253036	213550.65185290945
chr17	35345.457094135694	371075.6002036482	499719.1198539706	171826.53536608387	422821.84773109376	222900.41146804698
chr18	15633.62573096548	247499.03765416774	189730.68104966966	118880.51969603865	202467.73644579423	244969.79959098238
chr19	37976.95210709879	293481.843211642	391991.9483251317	136628.72495376194	324399.99904440687	129217.65992255589
chr20	20534.51427612985	255022.93278363347	292440.7848109037	106754.42631182628	269290.02886830416	219245.72297722212
chr21	8926.693942203467	115227.75478702465	120609.34353542037	58275.44184261158	117548.45372345447	89431.95305883608
chr22	14731.84756643884	155697.3201575087	205921.62158607374	59984.26684480828	189297.48631678493	85487.84323694563
chrX	24786.018143333207	437352.41759029124	247838.51403648354	222954.59504775322	295701.34843290685	709831.1143273421
chrY	0.0	0.0	0.0	0.0	0.0	0.0
