	hESC	HFF	density_hESC	density_HFF
chr1	754747.4559571784	1050974.0000000005	0.0030316448553280475	0.004221517932965796
chr2	732647.9915210728	1031680.3999999998	0.0030250518853502184	0.004259735610029448
chr3	544102.7148300374	844153.9	0.0027438976322714187	0.004257048943794047
chr4	476557.10376181727	714399.0500000003	0.0025053661312185982	0.0037557538643664796
chr5	510531.9137549203	743188.1500000005	0.0028122552048652195	0.0040938375970654235
chr6	498273.6493949798	680495.9000000001	0.0029171909104831737	0.003984028568461296
chr7	466074.82644365705	552444.8499999997	0.002924923784824214	0.00346695206411021
chr8	431958.6858895781	623553.6999999998	0.0029761798635724954	0.004296262643669876
chr9	361479.9068135265	532931.65	0.0026119487408867385	0.0038508092039380376
chr10	459797.74913253327	661548.7999999997	0.003436521737560334	0.004944406178468817
chr11	454506.12247768574	712178.4	0.003364553171502695	0.005272012797832786
chr12	436984.657813616	528193.2999999999	0.0032788118151248556	0.0039631744541669
chr13	255519.2236364189	371693.94999999984	0.0022342563289176926	0.0032500864255504552
chr14	276858.4972858851	348047.69999999995	0.0025864058392094068	0.003251453765834254
chr15	277214.28548370907	405471.1500000001	0.002718021901712599	0.003975550770370959
chr16	294777.7214046327	308528.15	0.003263040975619298	0.003415251297773941
chr17	332456.8234446354	411281.9000000001	0.0039931184462495715	0.004939881589682778
chr18	227049.12297596573	318657.8	0.0028249327245485328	0.003964722855361704
chr19	236941.12456284458	189532.15	0.004042148772526753	0.003233365034838674
chr20	257809.68680463458	315388.0	0.004000512362967382	0.004893972793534596
chr21	104325.9498512008	126469.75	0.00223348293342776	0.0027075529014857487
chr22	179904.8058875597	186750.3	0.0035401461903093907	0.0036748510403737476
chrX	264519.2716434273	251761.24999999997	0.001695191966461275	0.0016134312098120174
