	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	69164.18004697484	692025.7116268174	699851.4716498749	727709.4717711537	756952.3657317107	771599.9704109986
chr2	63388.301720820775	700569.841186406	705269.6758323669	757995.2369971438	758804.958117179	779316.2725698574
chr3	50120.67916526664	588869.9224799579	579002.655239576	628094.3393941668	630591.1560902423	658561.0119116912
chr4	34581.96276952718	541798.4201372069	472328.3317832709	584718.2123981399	526469.0957726751	577861.838630726
chr5	43142.324871636	518518.23945660726	503510.6101622477	560823.6404716449	541017.8272189935	581744.3739353608
chr6	46658.61285754218	513087.21512576897	500933.32458843855	552950.4896354933	541243.5013696653	563107.6694621406
chr7	36848.101324237134	442015.2434188116	416636.163629788	471208.8078213285	453625.88663632685	467889.17695704644
chr8	36068.33824057654	416992.2687801644	406762.83272638055	449652.04815783026	437466.73331602436	475517.2736915257
chr9	32466.945464609194	331247.3568791184	337431.08593636594	358330.11886564	365088.31592406635	376970.944389465
chr10	38804.69432060382	382357.95335017034	392363.79385927826	417369.31015270605	426091.9234015435	447123.20436063426
chr11	36893.34190595559	399486.1821152072	385378.8244391327	429124.94049036526	430822.52270099084	448977.9588288671
chr12	36948.92382659223	405262.30233903416	396372.9576321733	441221.12408757454	443478.52229039243	429121.8496518391
chr13	18392.10725306999	277732.94143623236	242617.82570450063	309511.58336128894	275790.11635378306	307034.762750686
chr14	23480.58794351295	263747.86077585694	238826.06334941744	290467.643698051	281745.10036628874	286060.53915388655
chr15	24681.646445628074	238158.73798149923	256911.97020735004	260983.7633054138	276247.84325136687	279449.3568226502
chr16	20990.817710454394	215825.25819169154	205969.96810537082	243328.39169850538	238523.8876141554	225114.6514912423
chr17	30223.884686572666	248487.01846527797	259794.99972320616	275050.9635996154	298750.40792364354	269006.16384272417
chr18	16225.15555418022	217963.5920791929	199709.97454186727	235419.54855702154	221881.8707043497	248587.74820327613
chr19	22867.419656294765	177763.4594079114	144500.74387276405	216911.6365008818	197876.38454580342	143984.53579663206
chr20	18886.793268227208	186494.529355317	181485.72378622944	193241.31496071097	200423.35052060467	229380.74472221814
chr21	9387.756975766271	96300.37247500198	94042.67103775192	107881.42247750123	103825.87413049843	107006.07554463495
chr22	11486.241025808456	102189.9823447685	108462.34815887379	110409.27823480136	124271.014617255	111099.26459111321
chrX	16870.16813537534	377074.50666744757	258814.4864142469	411546.1780687446	326233.22821570234	493813.8952266757
chrY	0.0	0.0	0.0	0.0	0.0	0.0
