	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	67171.64398782139	916010.5559661223	936215.247226107	925034.1093118429	965937.264645536	891553.9083093833
chr2	57968.553724749734	952184.2615209895	967229.8283181251	920379.9260299703	926390.2548837471	945898.5516839117
chr3	45232.0557855457	796380.6737929728	811609.5273117699	773211.0073698226	772752.8625521782	778429.0759006115
chr4	33715.226774705014	747330.1985066195	743069.3159816323	716596.9164946519	675334.0118039576	748957.6190734105
chr5	38883.65753109566	705914.867814195	711586.4145158353	682774.4530901929	669903.689315889	703045.7003606632
chr6	39595.88214216789	690273.8202480561	698773.5866487807	686854.1925710959	675826.0653730424	679983.8410106093
chr7	38554.35749317948	611384.0680467009	611589.2387003009	598068.3124440806	587932.8126130488	602646.0815209105
chr8	33671.751726477225	571689.9223601585	571318.6501527249	548122.4120499026	537619.2422626674	570184.1104374499
chr9	31996.293379226896	451121.2960790866	462683.71753925	447881.5402226758	465135.2818437511	441461.64507947833
chr10	37445.148965498985	524447.5909474652	540986.5504439368	511733.9797883418	532671.9324534979	521826.9572076938
chr11	38313.40117359161	540546.6935961517	545004.0118505228	539544.2784393813	553984.511091128	525857.8140809212
chr12	35799.74130711667	542700.3999746636	543540.5580789943	545148.156925767	549333.6078599896	523815.58522932493
chr13	19160.72339502722	385088.1530031064	383595.92842605326	368120.87350147206	353195.8003569512	387271.34043963137
chr14	23779.024608445547	361214.78744428605	366507.18165067455	359545.1193395058	369625.18667938723	350279.8154521913
chr15	24240.003311304754	321473.9100576955	329773.8120183613	321149.07705676917	336181.9958767097	312893.018061345
chr16	29690.34817376678	305926.7432456299	307288.6556952729	320987.6581296393	325220.1626988818	294050.1828797722
chr17	34722.89704756792	333591.7691022703	346961.6647273647	367926.778492031	403342.194992513	310347.6323792882
chr18	16774.049018972175	298870.5158438073	296708.029151255	282959.2457415222	273836.93118148565	299230.1008342156
chr19	31254.40554725528	245492.66147863326	236744.63023736086	305741.6696426373	301539.883086177	221237.84927884585
chr20	22122.118236451595	253169.85155345552	255545.27734553718	247064.20497306492	261548.71240291715	250492.07867596697
chr21	9282.52858029101	135834.05199733967	137622.21058286092	132587.94380068066	134805.54110552094	135107.69367130962
chr22	16821.481802866238	142674.91550805245	152105.388215828	150512.90980414188	176275.04634288026	133865.46507691048
chrX	16019.82678003554	349575.2065143349	341769.74848566466	343028.94758930715	329429.4139626608	346685.81523020007
chrY	0.0	0.0	0.0	0.0	0.0	0.0
