	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	83361.41180064676	744076.6915745568	809553.3997786881	783235.7271899903	703245.6919497547	915752.99670415
chr2	56270.831622934355	684146.2863084556	599066.5540358339	728264.6687892684	572555.7660997781	810741.1325105666
chr3	44828.40369939806	534693.6572430807	465122.9571435091	594444.374989439	470640.7380382188	542060.1892837752
chr4	36060.886173892024	478013.36768992065	356284.78923528746	556631.7512774195	352474.6517350565	457801.0919833966
chr5	44158.325760912885	501504.408911651	396779.4368272289	560472.5707956634	399305.3954593987	559594.0452750102
chr6	50972.331746554395	502909.2281942647	428362.63913879864	567937.6168219706	455343.0759292369	590685.9176514713
chr7	48712.925922369956	482315.6912676411	458420.7993227349	501991.9092218096	383374.08367091697	576799.341261769
chr8	33907.94819731712	416154.87778606045	370916.54803297797	445945.67258957244	331698.0503514651	493098.3343950053
chr9	26685.420348834985	300375.3608975744	384630.75297526777	316872.43135571707	277745.36850646883	369387.1070301579
chr10	34089.817757320394	387284.25816679205	373108.23953260033	401267.90990044276	344607.79366909154	522363.1291474526
chr11	37781.44079344273	415854.7659741478	483259.0692077729	444751.9921059108	385257.30426810647	491670.10749202454
chr12	33949.365626144405	399377.5880155229	396663.7596702411	438828.5522436142	374403.35187997815	443468.3968673748
chr13	15066.747679591177	210298.95096236104	160856.46643491267	243226.10282581812	162894.8907272257	228060.63899587566
chr14	15937.826711344724	234929.3724060923	249557.73547323988	254735.4689846936	220128.8858846585	239797.64954451966
chr15	22707.263565683363	253170.4593492015	257732.38991504116	265350.3560506562	230771.40414587292	343130.46817032236
chr16	25479.86313898563	270200.13940168644	430469.51508524467	288957.7394046438	265410.1487715638	373056.2982519086
chr17	27889.627267551426	297954.7568880607	488499.42338675004	310009.23979534674	328536.52759992547	382693.8037440602
chr18	16076.70428118706	186298.16154601984	147702.49477723177	211350.16216713423	146349.52593532682	223722.073570981
chr19	27211.8993356228	259898.1590954993	547808.0034547193	300101.5403790064	308409.40159867256	244380.71763926573
chr20	17676.836033439635	206888.0143405717	260676.54516752195	199601.45002385924	196283.37610806644	287714.38195342035
chr21	10342.436694407465	100511.53676802176	112879.40486180074	108693.78071984	85084.13115022732	136379.835821289
chr22	15500.041206073758	125357.60512950964	234344.3064257281	116532.82123499276	134980.4352019881	160351.02336445634
chrX	21862.291902494446	311902.8932539679	236910.9088784661	354893.49150897795	277706.61632739	295893.46749049926
chrY	0.0	0.0	0.0	0.0	0.0	0.0
