	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	66599.65778083054	912021.2987663448	957581.0778795141	969192.8736221124	995460.426284071	959147.8645909753
chr2	59043.605485334396	953824.8226633142	949464.6344090792	902288.8002496718	910562.0470134997	1005836.1468442363
chr3	46824.10134329519	799594.0007298941	797058.5339299284	751004.0822864999	751308.3310737296	820211.8983679569
chr4	35790.06820785067	757129.5893772789	688220.3730761985	664459.4249382745	603104.5302106813	782851.3143650081
chr5	40044.88361701834	711101.9920778621	684139.5745602133	655244.1197650984	636013.1786538766	750885.806457138
chr6	40960.50215725024	691648.993664919	680300.359547649	677161.977155088	651122.6027915997	720766.5757919329
chr7	38499.807013911195	612541.109514872	598549.964875731	597022.2346370119	571787.8454808166	645636.5742122256
chr8	34393.87989268619	574502.254972285	553727.4852836392	529489.949543944	518527.22625654243	610312.6668147005
chr9	31188.967313973608	451060.39056087134	465258.6844498504	460230.4850548886	471772.9861828853	476689.8235890275
chr10	36901.56466381831	524943.5956808659	544204.3375207173	514739.00858782063	540143.9873265014	567022.6287883827
chr11	37205.99584506396	539505.0385045925	547368.7102103663	558869.1871381708	566869.8719636366	568793.4267400431
chr12	35412.31798480135	540522.4012597221	544627.7648543796	553554.9493623556	555007.8510441929	566201.4509777393
chr13	19537.4304952478	390174.0995503464	361868.7735464757	344203.56019973295	322349.6364866493	407175.5834435034
chr14	23748.848845545013	360824.4308315046	362801.31388731545	364557.900076933	367323.46369290113	377816.49191139865
chr15	23879.758137682642	319348.46246026154	340881.1964342057	334457.43378485827	349895.618991497	341044.55158338766
chr16	28263.128208942722	303120.337592512	327616.3624645409	362831.18961595464	370872.2624810193	324214.6656877469
chr17	32015.79578596298	328530.97510209423	383607.01680982584	432888.35638308554	470430.148043402	344690.96683170553
chr18	17377.348451143687	301324.7109734813	285706.9481238317	269595.82365430275	261530.87653949577	318930.2474046651
chr19	27736.00821923148	239413.99479311594	269258.6306257882	390518.42128917854	383428.03505383915	249091.14889346683
chr20	21248.756639031504	251449.58485923053	269658.241089494	268390.2427480831	292264.67284595664	283424.7694031684
chr21	9195.157289048286	136628.8182979949	135696.07977301965	131058.18063974021	136952.9190437752	143788.22575103832
chr22	15006.10839883182	138853.96635075382	169362.0364920992	176953.88431645473	209336.12953108174	153118.85082217274
chrX	16451.56056332625	353141.16996246285	327124.1900950326	332026.5932022667	313676.339445776	353468.26834262104
chrY	0.0	0.0	0.0	0.0	0.0	0.0
