	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	66615.08823056333	887660.377355425	925314.7469125093	956278.7053668175	994879.0937663591	877141.4403425207
chr2	57331.68428861762	948435.5589675084	946169.6487437545	911499.9676493562	903346.1967616656	915144.392593714
chr3	45354.16622352173	792805.2575862628	782259.203290009	752265.076088815	724467.4446696693	752707.5522033739
chr4	33677.68543479367	757441.5475874258	710494.4039222695	667777.3258438022	586159.5446527833	702746.0774186137
chr5	38737.32918484007	709680.2862824247	691165.0642377039	663661.2969126111	629342.0582882621	676440.5681524222
chr6	41421.539185149784	683978.1017447279	675923.2340844864	672180.1475674197	669249.2677156646	650453.9462598481
chr7	37534.449788022976	610400.88823045	608733.4281070296	599192.4149371904	569908.4604953552	588798.0550783313
chr8	33066.98017020914	574346.5263870893	566990.7200590988	539916.2623216292	517805.04800305155	552527.5624568481
chr9	30584.857359019672	444353.55167732405	459605.08500992256	456905.369762099	468031.88001313363	436984.27434153005
chr10	35234.734990073186	522002.44780048315	536762.6346732437	519293.96815992077	529987.7333582521	517326.1344219227
chr11	37016.807088787486	527724.7803300939	542774.7722422562	557007.0241644549	570384.1994462209	518020.0855858116
chr12	36111.15070881992	530937.2718522258	537833.6862060152	548606.6909182032	559659.9793724332	512416.5156746076
chr13	18565.741964146677	391187.05660950404	370139.87336887326	347322.4321289817	310916.77544836036	364705.14459350094
chr14	24078.58817384001	354560.87849619304	362505.3373740973	363872.9847296848	380315.9767616232	341959.57439732336
chr15	23299.938973015363	312463.3764300433	328095.04633823567	330872.2101188074	344307.95104480913	311333.91495195933
chr16	28092.57986257412	300585.6896110922	334267.83042885835	363067.3242488357	388959.6016682449	305120.06520325784
chr17	33043.189516604136	311638.438870534	359753.5930190535	420277.525251964	478827.80513168516	318833.27857153886
chr18	16311.380188585073	302531.1132756312	292896.449585347	274248.3789968216	253483.97955971927	289928.31107975554
chr19	30974.215501721956	226250.04515309058	275018.4916905471	370143.3162306854	416904.7860668498	234288.935516795
chr20	20619.63437903318	247619.1409521962	269471.1070919179	271571.113487508	288577.3696452691	255421.03781142458
chr21	8737.127518387138	135690.14811023555	136518.46481397562	132610.0404784823	131483.90732657321	131535.30283929617
chr22	15514.47080198042	134307.76100885856	164285.32179822176	178614.03665046603	215971.51494430657	143688.3973026997
chrX	27118.645091919032	583297.3585018141	546887.7495194143	504024.25207485503	436154.727771428	578807.7553332683
chrY	0.0	0.0	0.0	0.0	0.0	0.0
