	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	727302.0986537351	903695.3442952981	913898.5162022135	898715.8156618174	964303.1075126511	952180.3402932922
chr2	766457.1732437293	953918.4594950476	959186.1195726849	966650.6039588966	882752.1383487821	997299.8890433502
chr3	620943.3664230963	800298.5417490716	804560.8675707722	811710.1927660778	720310.0586279255	814461.6776605665
chr4	567001.2897940051	764018.8553803631	748920.7778583342	781906.6018500024	605231.8092049079	778292.0041461679
chr5	548136.1065259114	710207.5782446786	706296.417959147	724560.5831061648	610207.5507530001	740491.9763749199
chr6	549592.3390627098	692188.6687531667	688857.2220054562	699727.4067934903	622205.0818392291	720945.600485997
chr7	491094.55093353253	610425.0608430223	606332.1564584476	619978.5431942319	549248.6192442137	636259.5294017108
chr8	450221.76173062605	570190.2259961045	566064.2648401745	583253.8417905936	489405.02082264726	606878.0735716393
chr9	366629.8151919393	448019.4616131687	455334.130157316	450070.2793924543	463602.5649453994	471132.4273332989
chr10	429578.77689082845	520294.8318839787	532900.2720735705	526139.5956380276	530996.4636555145	559528.2957433542
chr11	421446.52686588577	530882.9850104174	532085.837932595	533653.5309345046	545771.1127180522	564088.231238519
chr12	427845.55532939266	537139.3975204849	536445.2708950811	539307.989260065	538446.9076631658	559380.5273760642
chr13	293575.7274325155	391305.8115056879	384448.8786611723	401712.521087208	312277.0360964192	407130.50433569524
chr14	274842.74886725796	358980.4877055707	360513.6933757194	360941.78813319776	360913.03672251134	371903.89306364715
chr15	249950.8623658596	316231.10644857195	322567.3010142974	314929.2768842642	331731.9294971987	335228.89608451736
chr16	254505.6046606878	293220.33364792465	298890.5784170365	297906.88299030403	339142.98859782476	318710.4220748179
chr17	271232.97097564954	318629.0697472477	325737.56544094614	308222.8204005261	434398.2478198204	341138.534555634
chr18	239769.53598913876	299965.4669293791	296732.7734986446	308212.6354651493	246739.14332505217	318494.69834868226
chr19	188588.26219118453	227562.01679095876	221325.71964142757	222065.2934876837	335962.38187929627	245430.89193867403
chr20	203335.03766752736	243628.5391689817	248147.49946663997	244247.6629322627	265050.7153364256	279942.6338923974
chr21	114299.62470828902	136109.3104778447	136248.96204753028	138561.31906494513	127510.74068454905	144678.11234546007
chr22	122304.77709066782	132850.35586281755	139531.12761087826	130126.03024383255	183816.26360785356	151942.27044146063
chrX	392673.3126729833	561829.8520521261	534921.1744751917	596808.0468825808	410375.4854108463	838263.339691882
chrY	0.0	0.0	0.0	0.0	0.0	0.0
