	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	65837.67022048458	915481.6361661332	976367.0137129023	974597.2254061588	869641.0148087371	869641.0148087371
chr2	55908.54506388977	934674.7103985999	935358.3819567442	841349.4853096926	908012.3297781023	908012.3297781023
chr3	44752.39745644629	778875.2330278858	781684.6026112597	695702.6993036709	740474.4903321641	740474.4903321641
chr4	32696.479553589576	723370.8569104427	643094.1880299442	582551.0666499942	704886.8102724617	704886.8102724617
chr5	37509.219403875984	691470.2800396294	663753.7318259648	594691.1323121226	673181.8244922219	673181.8244922219
chr6	39126.68888716848	672673.7116291402	668003.5596504991	639482.0717019134	647205.7404922722	647205.7404922722
chr7	36342.19029670359	603810.3255652802	592649.2380670353	567953.5866143779	586366.3610445674	586366.3610445674
chr8	31933.505000687015	561290.7458200739	536741.1652322799	487093.6387997523	551995.1891340227	551995.1891340227
chr9	30082.43017932214	450464.92743837426	468133.1115367377	452587.3736752173	432189.97020953393	432189.97020953393
chr10	34897.97359955869	522018.8185592739	551285.2233890459	494376.5326430535	513020.5712958678	513020.5712958678
chr11	36752.657856624566	542191.0649343915	549196.3939656247	552802.1812354769	514078.176277062	514078.176277062
chr12	34288.43200333901	536253.0928847919	548278.7358243936	543188.0908406867	510973.4396826123	510973.4396826123
chr13	17792.280773434417	373682.6951897241	341571.03807790077	303290.8795252228	365754.20246980246	365754.20246980246
chr14	23069.156195807464	357228.3203662074	362740.33909957914	356073.03228007146	341671.20427303837	341671.20427303837
chr15	22927.834969595067	320998.99572586245	349785.53226756764	334586.5507228827	308084.3668900064	308084.3668900064
chr16	27417.684687678146	314806.40608049947	345525.20045201236	396152.527505894	301343.07717538095	301343.07717538095
chr17	33188.74633966908	348039.67670640186	418289.56696362013	490599.4796636505	316606.3347880035	316606.3347880035
chr18	15633.571013340355	292401.0106257552	275146.45151673583	240971.0691353653	288239.1579740276	288239.1579740276
chr19	30534.107801323382	263829.5040252714	307714.1263618864	490054.81780332065	236617.372512463	236617.372512463
chr20	20277.13585684784	258132.15944955722	282343.2743124225	273832.22978744656	257040.04306740657	257040.04306740657
chr21	8627.548577099667	134651.47282023207	132976.75070039873	123999.54907277682	130945.68514439472	130945.68514439472
chr22	15111.4002927687	151043.7302415005	188132.4759810495	197121.8144696162	142278.91607290186	142278.91607290186
chrX	24747.928131214914	554772.271020571	431420.42886702257	412572.57378169673	664145.5538897483	664145.5538897483
chrY	0.0	0.0	0.0	0.0	0.0	0.0
