	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	45554.25773563759	783728.2274607681	848021.4383215078	792352.8710319265	769221.8646117813	825128.799612404
chr2	58430.94573612139	863807.1182548226	732190.2133882971	912729.3422351016	668432.1240785981	906617.9645770083
chr3	32678.836470511927	658552.3558880186	607434.4895741296	692732.5872914675	583128.0056930579	626855.0971217194
chr4	25340.664359520753	587397.8830013045	407333.483566041	665506.6967613574	401831.45622404694	528135.9775793599
chr5	27419.527156944947	570936.3095241004	473752.62805637275	620185.379452226	439684.9804740839	580619.4227373983
chr6	38933.456452767554	590413.2553568849	534981.5225381076	639102.298133802	513107.3958785542	612686.199478282
chr7	25754.764097931977	499585.9341102332	448312.408498345	527590.1540387265	422773.8359847179	506334.15557801997
chr8	22438.64557296299	466739.2296495628	395494.6761619699	496059.5617092668	364513.1333277046	510286.2166190407
chr9	20088.272751626748	379266.10831670195	380368.91568174993	382785.8042259534	346958.99513095414	412721.47390663665
chr10	23576.18969720975	439413.30145702604	441974.57187768363	444384.9041105976	393140.8355388095	551513.4144955245
chr11	24873.432174561553	459462.89691410476	423179.26970845915	452564.96006126824	391803.4886156205	523218.10959762166
chr12	23828.189952798195	454193.7325256682	431287.7411977595	468772.5133970544	413244.01254722633	471286.3441639706
chr13	13533.429468555005	301075.6934854118	237816.93665934668	344353.2088411675	225915.85687374615	299718.76984755445
chr14	22192.619232879955	309635.6620595121	304958.7816042212	334390.71690775343	272138.94705692	300567.7475819557
chr15	14659.325667889421	273321.422518052	286034.6754264631	270380.7689829185	234575.03722685494	314295.4573772522
chr16	25405.69012406059	275796.9695913686	322483.65447088267	268891.0830523868	278583.0684059576	337772.4634135428
chr17	26575.89152062535	309192.15244528337	416610.2068198312	290886.2718873444	372498.96789674996	359871.38047008525
chr18	11729.505270787326	245513.79531123905	207189.88333761564	256608.60115971934	196701.9708493836	269993.69641860476
chr19	17313.151808108385	216250.71490416297	268412.58470147796	215317.189643577	287179.05484638194	207676.442589378
chr20	24960.920895313473	228567.00654777064	249084.76442267688	211671.92010017647	206334.408083474	299643.20108106046
chr21	5622.790112392232	107033.28869026183	102565.95918659845	126380.65930910417	89221.77154207349	101693.4010755259
chr22	9043.82172520794	131179.3489888053	189570.77065603435	107990.08505420545	160422.81123301294	175666.2901370513
chrX	11017.121941711384	278719.01214663	227659.45421671376	295766.9553162753	252005.92992245956	254684.08688533807
chrY	0.0	0.0	0.0	0.0	0.0	0.0
