	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	886708.8902301699	948244.764297714	964360.0831601697	966776.0649369615	1028483.9978478018	931984.4474450721
chr2	961415.9523313435	1004216.1731794263	977954.0158635685	965872.7173501352	943765.5741133508	981066.652580567
chr3	789456.4644083661	840845.1693808762	816257.9564341577	805722.0699102955	770325.893514828	794817.2833420117
chr4	747567.7550905303	802935.1373374491	732622.4299657666	750842.2494230699	660121.662031088	761822.5956355542
chr5	711959.4265212027	748796.0064822766	708686.9720700253	712211.932350484	663274.1546741119	727766.9203257681
chr6	681494.3333328766	726695.7223427336	698821.3098819462	709357.4580869881	680761.5863070323	704971.9635101039
chr7	624176.7081799355	644355.372421986	619133.2187039019	630501.8510251706	597311.1407307414	624790.4062555605
chr8	581010.6793325805	604913.6626531653	571221.8050417545	573458.1270274447	532192.2037420771	599357.587646582
chr9	447718.0350491647	470845.69293980673	474664.3633647952	469876.26247526077	494884.0842255141	460342.631223356
chr10	527592.5756625027	548832.1309222259	556195.6597374587	535853.6294125934	560975.6840680275	550275.1921732075
chr11	524312.8096802853	559135.6109480347	553518.8351198063	561202.1909061662	576069.6181595494	553057.5967972602
chr12	524674.4834549491	564881.0660611708	554550.9470100659	563182.3689378962	572212.7534900804	547206.2928849119
chr13	379038.28145847074	412874.8517236629	377068.6929237004	386132.7322249638	343399.4517317885	400467.22175951855
chr14	341860.46271298506	377524.20327032584	371673.1043564561	374249.67555699154	385074.2662979587	362555.5539764572
chr15	297719.06648954394	332515.0101972737	341407.38550928875	335563.2120631956	354563.4127129677	328987.1746239112
chr16	300008.70703835087	311209.59237494797	323881.56922956195	338084.65094951965	362014.48982873483	312526.8188861599
chr17	295078.2944367579	331896.98609552573	366680.01290562475	382972.40213057294	464604.1681141085	329025.1716625684
chr18	305426.5639695076	318249.4012331365	295917.3390765891	297506.81385186635	269898.2217325739	313884.79642626335
chr19	200438.87691906784	236874.71172431827	254219.84575256478	313459.23366776743	348002.60060365044	235002.38549187692
chr20	240229.1038576992	258872.04005575817	266943.1833016593	260785.07097783897	280976.88641481684	275718.33360306337
chr21	133978.34548613965	143505.55711966188	138097.90049671518	139069.24386778573	137823.91398185192	141211.1896506271
chr22	129339.89880599224	140455.6867141893	159103.37185535952	155928.99143226596	193989.54534966208	149316.5345045794
chrX	527085.434194043	595317.466736994	500041.06408144464	542230.765540319	427974.24928034935	856493.2584764358
chrY	0.0	0.0	0.0	0.0	0.0	0.0
