	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	62269.664649855345	808222.0573080233	844715.6281363292	839528.7096339492	857949.6712493353	700913.5898874955
chr2	49372.4553469045	797494.731039595	914779.1696769758	903109.9107110819	911789.8533318297	747809.1390667093
chr3	39840.998855658596	661724.568492474	775610.5315134523	758368.0316441803	763956.5881181287	617900.4642762722
chr4	27126.47419973893	579897.4018815686	736655.5152597209	724868.3515577809	726317.9165187563	579535.7640313777
chr5	32726.07503445484	578578.5915211774	684641.0240002079	676482.862305009	677795.6791584303	557879.7410054643
chr6	34685.93729794677	570089.4951244165	662852.1555222012	655723.6243413938	657675.0440916858	529841.1234321141
chr7	32402.951152470156	519311.2715047987	580087.465945143	577657.348351531	578449.4305544789	475669.60207949614
chr8	27831.25607098249	468129.78922370245	546093.339031162	542525.4023000938	540933.2468780068	466119.25740386645
chr9	28566.845003950228	391111.174432832	422793.60747597954	419902.90755956026	427709.4642372951	355194.2012221338
chr10	30473.76827705725	455424.83350961556	494509.3191134925	491103.2883740036	495190.00627152383	421244.9231774334
chr11	34850.00595665071	466034.2914917953	496506.75796393846	495736.7501231394	500502.0031756415	421771.4589067059
chr12	32406.05623096674	463701.4453447178	508323.6870985116	504934.30823550443	518614.8684268704	415219.88556628255
chr13	14677.234024743546	298030.09846022964	374316.2270820235	370615.93527444405	372202.5700240222	297375.9548753564
chr14	21170.066096798702	304861.45444843423	337364.457041599	335898.26170052297	339664.27537579555	279808.4641169547
chr15	20111.961131484622	285592.02625437645	295830.32217085763	294596.0890174094	297006.94600945746	251619.76347510357
chr16	26511.025181606783	270614.7563761364	263038.49826356716	274199.2308058748	273346.34745510144	250931.56314686284
chr17	33769.25377660245	314391.8663248208	277880.5004481647	284588.5045937466	304920.1904237199	245807.52529750628
chr18	13280.661803657376	238219.0915345964	288632.1159807352	286961.9664910193	284924.5282764258	245357.7130011399
chr19	36187.15647122134	231443.34443712785	180622.54550004387	204903.29647125342	217654.22784521742	174736.21648474454
chr20	18529.69344744701	228072.5639445347	222777.95174797278	226767.49503010494	227387.83793414864	206723.88978875827
chr21	7299.656709305384	113229.87674749806	127611.49115092625	127890.27259319572	128756.52825208916	106306.0838939543
chr22	14910.055444202946	136882.82692903889	115160.71530028555	118898.81468787113	127322.60959654205	112149.20529864494
chrX	13935.134491413832	298931.9197126355	355675.5785673039	352452.5590706718	345066.52507009613	295520.2479293292
chrY	0.0	0.0	0.0	0.0	0.0	0.0
