	hESC	HFF	density_hESC	density_HFF
chr1	646808.0973724613	869628.0000000002	0.0025980775758918215	0.003493093261117001
chr2	655805.7000657067	787435.6499999998	0.0027077754834056974	0.0032512662631874025
chr3	552188.7889707495	689567.8500000001	0.0027846755204979125	0.003477475004873912
chr4	478863.27725652186	555746.9000000003	0.0025174901955138072	0.002921684410533149
chr5	477483.80272755935	557662.05	0.00263021032237375	0.0030718706517946725
chr6	477835.86863720196	668058.5000000001	0.0027975359611808553	0.003911212616274985
chr7	422938.3084293148	477443.2000000001	0.0026542139752054783	0.0029962677500485068
chr8	384873.603574813	400214.9000000001	0.0026517653340411233	0.002757466316549923
chr9	321068.50695188524	342893.79999999993	0.0023199477112402	0.0024776509351870702
chr10	370840.92402090254	422145.3500000001	0.002771659711208057	0.0031551082501425185
chr11	366857.2666715114	443900.0000000001	0.0027157187087816247	0.0032860396790438664
chr12	378760.40934968693	481683.65	0.0028419398326038543	0.0036142002116836213
chr13	253682.19108408032	300206.3000000001	0.002218193343330626	0.002624999466616899
chr14	243108.74714206505	277645.10000000003	0.0022711164343344747	0.0025937542640288337
chr15	227903.69370066817	303946.25	0.0022345429633207647	0.0029801226260829255
chr16	227943.1922205368	209689.30000000002	0.002523216384144925	0.0023211549868441803
chr17	247107.39173790364	316906.30000000005	0.0029679916746168508	0.0038063420661703985
chr18	209996.4250668073	213057.50000000003	0.002612763993244861	0.0026508497195305634
chr19	169981.27489917947	165977.89999999997	0.0028998326185626427	0.0028315361716518797
chr20	187138.11609360343	179564.75	0.002903879820397142	0.0027863615647324607
chr21	88982.77674641821	108210.65000000001	0.0019050055476667205	0.0023166493124178616
chr22	111709.53608814621	114911.3	0.0021982074722942495	0.002261211416290629
chrX	297208.07988323655	266673.0	0.0019046806920918812	0.0017089942992188042
