	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	54194.31995270939	892083.3880691838	910636.7178670836	884969.1741674539	905644.1454957512	862152.8914911591
chr2	49176.21189163104	876896.6825146601	914946.3236270633	879897.2427144372	841938.4897231644	917632.2595634573
chr3	37247.397003768565	730448.8657677341	755601.372336173	731880.7737033683	694129.3510973683	686589.1558967015
chr4	19709.42274186015	581752.8928037173	594045.4447631373	585814.6568972345	519573.29976155935	519330.89162409067
chr5	31446.285539758213	673018.158110427	691298.5935846413	676157.2927264317	611328.15397769	737078.9032783132
chr6	31638.434592547455	637277.3532434987	665698.9139544646	657235.03657426	624526.7978275632	600409.5123854302
chr7	33974.09746867344	598020.1635474692	599951.6318787521	595296.7596959975	538502.0175996771	671180.7767310273
chr8	22664.649349871088	485137.60244584456	501346.71820272005	483973.3663681089	474174.7349820909	547144.6559315188
chr9	19224.698504201322	399246.7547259549	404124.0878858364	396734.88186463714	385212.22731295414	418943.6348142053
chr10	21043.66221178826	434255.5262567235	447179.9941213228	431468.63616616826	435050.29965629266	512466.2209922864
chr11	33171.29674780573	529488.3574721026	519082.7805358949	512551.5044446999	483669.76775150077	585627.1743630618
chr12	25603.96828987748	526513.683633325	523686.80787470343	527310.9891851613	507869.43180039333	552966.2064677365
chr13	14091.686862903647	353813.8935861752	363944.075497599	356397.0900325689	310356.37130420154	371716.4858704244
chr14	17452.51281289663	315703.57021358167	315930.8103310496	313830.967013311	305709.8566596615	326347.5347849661
chr15	13132.962934642845	278928.39846064226	282469.3595427871	272384.65645874344	290261.4423911609	304862.7531824694
chr16	17097.05591040291	296578.53466509527	282382.2057901663	294140.04330834217	273563.96148935356	381732.62720862497
chr17	22421.54174971636	332349.444419265	313672.0390929565	323164.4889111545	338441.1377006164	342272.90517334215
chr18	10870.386650994049	257660.016335044	269570.0428973672	258100.18466823513	247218.44335382062	296852.97753034724
chr19	22197.767183208653	264067.9363296833	215622.72833103788	281314.7708164586	230259.91301938982	268434.97809444944
chr20	16502.33328009993	254927.4354722217	255339.02464413957	241073.63135015417	259595.31403246027	331286.0502209483
chr21	4690.671966907195	103042.9778614657	106693.98652680965	104575.06117156753	105197.87045135042	116557.84439325191
chr22	11406.459943336435	144454.3968569526	137887.6587940882	132449.3383744918	144565.45652480563	183090.74663815094
chrX	14849.696836995705	421897.32855142327	414794.9140870747	423777.82534992957	360943.7077522749	455109.57854995196
chrY	0.0	0.0	0.0	0.0	0.0	0.0
