	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	926010.8262515195	928537.9075231337	986518.025099298	961361.5913474924	998036.7694034844	930245.697362133
chr2	1005030.50338872	923220.4125024998	913358.4376434525	862735.6704719912	882298.9152923085	968294.3300379391
chr3	828825.915348626	769810.5415547233	781472.9112444083	723479.5157012733	746793.1622823663	780760.3802833951
chr4	796748.5646397222	694023.4418079867	603863.1989991678	630669.0032564554	586621.9390096166	748351.538538218
chr5	752467.6367869946	675407.3211641801	628106.5336129337	627609.6432812534	597849.6034451585	721640.019237987
chr6	718131.0742744888	665599.092625342	629854.1163187763	653283.9884421219	613690.4564664881	695753.6591900813
chr7	643062.6765930707	599146.207519839	575910.384898815	578961.7050040172	550128.1639438699	622675.1753187772
chr8	613115.6788920916	551909.8014292094	507805.44808373094	500748.3206446821	480432.35258779157	591866.2472460262
chr9	469060.197524695	454176.9221082784	477901.55542987434	449599.9918562497	473933.9405915002	457339.1979110872
chr10	549956.7509739203	524583.4704951838	566285.066100558	506026.89918640396	548044.4922900272	546945.9500120102
chr11	540569.9977620217	546223.0985977591	541987.1407623393	546337.6026539854	552127.791456756	550460.7755697576
chr12	540508.4915349437	537617.2842407838	535166.1667831934	545876.7400282298	546122.6147953997	545813.6302054771
chr13	409312.68379043305	358146.9124505554	315609.5908757659	321358.7493635015	306830.45014296117	395666.1485522459
chr14	365048.06579132035	356507.76191069174	358767.4514565054	354105.072350142	364729.84700948844	366274.0956543984
chr15	324530.6262415747	327782.68449273345	348471.2332639369	332360.0523814481	340788.52271263924	327031.9015581538
chr16	319230.4133125712	318763.1310378965	325149.7783314203	352877.2138740729	338056.48082109605	324160.0072841244
chr17	314064.8142173692	364319.10564639355	421305.4222476335	436092.49302613596	449702.58527515904	342073.84008436196
chr18	331125.8403155161	284426.3630733508	249722.99936630714	251349.24095140735	235577.1877003895	312502.12644078874
chr19	196560.55962406952	278548.16110133886	288380.95457130915	415424.0415274342	353841.8398856334	258753.15142153742
chr20	258035.28851737527	263734.9825281546	274038.56672100764	260511.61002211756	271757.63004469435	275971.43077862466
chr21	144226.27774448073	131856.69220367898	123541.81518690987	123861.7512360389	124258.9999947573	143816.2526824484
chr22	141695.27644590123	157215.29686390047	187335.0524810179	177849.55259623204	195327.8305645188	153640.96534788754
chrX	319767.52521468006	343079.99779092666	295779.05715669063	328711.0855473414	307062.0003684795	344957.75900201895
chrY	0.0	0.0	0.0	0.0	0.0	0.0
