	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	69785.97890440526	779170.1278070953	1018083.730264114	1104011.2864164577	915766.7452264203	1010949.169511329
chr2	59245.898139540936	754913.264484992	907613.3423339485	823479.7044429873	833978.4839961558	912000.4193048016
chr3	48176.90626813893	625473.6839155242	733303.453868629	668808.2233069695	705095.9631107701	698619.271571611
chr4	34146.749817343516	563260.7559035023	537851.5126372025	479405.38669550885	550879.2831674247	531418.438402156
chr5	41075.76899616639	548381.8278282044	620293.9569036341	568087.6098552917	584434.8612209426	604737.3946004825
chr6	43765.83283590629	541664.3298562936	631627.1946023777	644337.085621359	615132.0012020635	587547.8372036322
chr7	35780.03108572484	478467.95316668507	569360.9189438993	576791.8599687443	528837.6022607785	542317.9318137601
chr8	33002.49567251662	448595.720205733	511343.3982675081	462095.79018775735	463909.44210236776	528303.5647477279
chr9	31334.32024737288	373098.9735284987	480292.75624466693	486904.91066762764	417171.04017779167	480114.07930918917
chr10	34174.211121527944	423347.612149041	534871.9684972522	512663.0099898187	468980.6606129629	582787.7369127187
chr11	37917.0842598475	461244.34710688336	561085.5672828024	619497.5995782603	484590.95984887733	619294.8625696134
chr12	37196.0550719231	443225.2275815699	547470.3299761153	602182.0906343393	524732.7578589175	506901.4793800837
chr13	18418.56912371568	288545.83789956657	300318.14518447523	257050.7485780608	296251.2231924123	291090.13524839067
chr14	22385.6174377014	291018.73863005225	337042.1210086395	367312.3658589875	313496.311291549	344814.6638741396
chr15	23009.724599670382	267542.6580675995	367923.40920219035	377811.05795238615	319747.31357861677	365200.18874930835
chr16	24210.112157195566	264279.3822990775	370949.653030432	477127.4260063819	300498.5903771652	378035.52826022956
chr17	33308.415638655846	306231.80889138544	488128.900419155	639269.9191919491	392571.1811727687	485336.6165186856
chr18	14814.932334907495	232365.90268527318	242626.87419735378	210378.07623030434	228378.74975306273	271552.1708623493
chr19	30514.950246748096	237784.90575625125	356043.31391829456	672251.2334616976	289816.5912277169	334651.17116408056
chr20	18917.381294000144	224427.76199765908	298838.7729090549	315401.6547502204	246060.8743934434	363527.66595129453
chr21	7678.765078754491	104742.14321701901	125014.58339814197	121818.49960254572	110497.075521329	130966.77236440561
chr22	12941.957082147152	133565.30141556426	216762.27709926278	264666.9443922305	165605.6271528573	236290.39653771964
chrX	13772.070367625402	282668.81940692675	246652.64194560677	263681.4436738873	249536.5753339149	270763.4256971402
chrY	0.0	0.0	0.0	0.0	0.0	0.0
