	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	58575.83286111096	777623.8677974936	751576.0250646962	754020.8156190695	699959.1410480806	866025.4906498165
chr2	54593.341160590535	785505.4123850543	750548.8609610985	727887.8689080772	649777.6971633827	891508.9889856506
chr3	45070.268951828046	651783.3282273052	612630.1659540362	593594.9003513315	526686.8503128216	737284.7323078357
chr4	35261.8215629816	568707.5962040403	486287.36243430845	503625.1817199079	393799.25863529986	663679.8667893541
chr5	38916.78801573515	567289.2062348604	516361.06403739617	518931.25227033976	435888.23731723067	657104.187675465
chr6	39393.05820122138	569737.4176385899	530622.6366448359	539892.7849720947	456175.2121571022	642467.5537667208
chr7	31768.765991611413	485733.2100962673	430558.83840633347	449111.240422562	362638.2816525692	565487.6753914846
chr8	29062.756648262595	462631.7291070215	409491.3358641101	411114.9634974015	328048.47538725915	551695.7351149889
chr9	26677.376487469304	378180.96633427695	365012.39749193774	356120.86793770123	320946.8662715641	440351.7176741109
chr10	30886.05538226701	442390.0966950282	430485.587130232	416420.61787298275	392297.0482198878	511477.9512947637
chr11	31690.963974646114	449577.00712729554	426112.38261411065	423356.2714111496	387590.1221442243	560119.5561904182
chr12	31307.259861784798	452881.44124438846	415131.37410544854	435936.7218503918	379881.0842150747	497411.1211032231
chr13	18246.229803529382	296313.2896725576	264665.1158536243	269936.60463791	218402.4650468602	309309.3592335839
chr14	19363.635653219	294258.41109641903	267536.9452316228	279344.08841057133	250650.21578221009	312099.46136211505
chr15	20202.45003052391	279964.09096144495	284852.47919061425	275037.5329845312	261411.7046682872	296085.54136722756
chr16	17962.335466453434	255141.71357841362	240244.92906872637	263712.91262482305	223510.3188092202	260442.80168705437
chr17	23225.20567210802	291228.7680310267	299896.6928074236	313922.1878866502	302981.53639774263	303743.3636871382
chr18	14000.623864724486	240487.31432012757	205856.0026116668	209332.44749043963	160716.30089468835	298245.4727620596
chr19	16496.320272620767	200664.10811580234	166186.52403575106	273957.83607350104	194557.81379394743	181239.2199055534
chr20	14665.151133793592	222755.26396168928	206631.14086180006	202813.73210940784	182149.59290829915	312679.3879285835
chr21	7589.8275702778255	107560.09844482264	107620.92764135498	104749.00204906169	103861.83703738647	109350.30875220818
chr22	9902.462556286155	123386.94571054047	134626.85686877827	132628.24650755594	138421.50842457064	137447.75846964453
chrX	13220.34740458876	288954.7916560435	245152.57835539334	267312.9282979294	216838.57092317575	272141.1692148833
chrY	0.0	0.0	0.0	0.0	0.0	0.0
