	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	65580.54914124311	914158.3998601922	997985.467115041	972279.507842681	956574.3064226558	937797.6162119125
chr2	60139.9411999263	936692.4175084438	940632.9458102924	861934.5094485612	925099.6791746379	944290.019056886
chr3	46616.46533391643	778493.0945629469	776582.0681009578	711035.5084215918	766328.4812776312	730411.2615193545
chr4	37008.479392561676	727743.7571087311	624388.3106248814	609893.2223689932	668631.4672218587	700878.0155127652
chr5	41177.228703264336	694359.8218484289	658537.9777977305	617145.9833473087	662458.6515558069	698426.2879497762
chr6	40176.12148215119	671645.515054807	671324.9775651789	655004.1028505608	670289.8477496462	664696.811071606
chr7	39694.33649473304	609952.5940129622	574143.4400294385	573211.6679082095	578007.177250091	615052.8643514863
chr8	35623.24917018695	565751.6846373755	531540.3612933184	498265.13950819423	540917.8082852287	585456.47389091
chr9	32039.78537289556	449725.5687735766	473442.5303499853	448896.91086424195	458749.08206372854	459003.58462672814
chr10	37874.68893920499	525412.7674250979	552556.2068815174	502169.2149536973	534286.47363634	566713.7234782523
chr11	38008.42376276906	543495.6766579977	554814.4794584189	551728.0119464883	544761.3748231118	556562.7395875888
chr12	35204.719559342615	537899.845975635	545103.7883439264	549706.6089876208	546741.8253769674	530043.946814153
chr13	20249.683879413824	374432.5815706324	330104.14083533996	316113.7654171044	352026.48444429424	377903.1543452931
chr14	23702.8340418756	358060.61691264866	365452.2261559804	358206.0717997857	363235.40928358526	355021.2176834987
chr15	23764.22366936766	321492.553667841	352697.43897655874	331604.5851216804	330090.038291953	335098.3946878199
chr16	28794.75914968233	317680.6798650225	344399.1754534167	364877.3853465493	322609.18763745594	334580.5056336532
chr17	30883.57882940024	345987.4658781891	424172.88912629586	464488.13409440714	389654.2691702323	360844.14412879746
chr18	18240.77024486847	295013.2447045155	269067.33566213114	252180.9660286974	280811.6391471691	299208.07154441136
chr19	25549.140345342646	264599.31684361503	296336.8647363447	434307.3259109396	292096.92956540035	260557.30132393737
chr20	21956.697031472435	259132.04963287932	286308.43365492136	264786.74180261453	262484.1881133169	312646.5726947612
chr21	9445.34887763951	135008.1271230366	136219.90326773783	124686.56487539943	138339.73605523977	136906.8461583172
chr22	15873.959804468413	149493.85880543434	192147.63364641732	185756.7361896011	169956.6353460334	169198.65509634733
chrX	16648.423075699062	345729.64425777347	296603.3159947746	314987.7751521978	323155.6221453558	315985.8403069608
chrY	0.0	0.0	0.0	0.0	0.0	0.0
