	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	68760.61234518178	838858.744535912	838779.475517485	959675.2484303401	847516.8894294718	840301.5599774558
chr2	54507.20539790837	809725.8415017012	813709.1907738411	771335.6020859319	828919.6535392114	875547.5588770472
chr3	43789.133893753584	673491.7072890078	656388.5708334193	629248.9684776946	676738.3133720837	713182.2596071883
chr4	31506.624941267877	608135.7245753217	545350.4697581602	489141.82795388653	568285.7212427192	663004.8189650164
chr5	36365.43321808344	589510.2885751213	567275.3136225689	547415.2100360551	582744.4566629387	645457.3005715313
chr6	43429.99320018248	606709.5192006498	603492.635972933	651715.0206605499	625082.9045174982	627473.725713985
chr7	35694.78709115192	519245.03474886244	494054.7857251778	501068.8187110702	501570.8349843978	531883.9409531672
chr8	29818.010803147772	480448.7031796794	474507.3249480033	434318.45094453683	466377.11634765996	526283.4103864
chr9	29577.59670910336	387812.4995465999	396031.0678775458	404432.80499820935	388622.4753347309	409052.8564520435
chr10	32035.462806757176	444385.3972825896	466256.1812796429	451125.6024337848	451129.5215154142	486253.10474815965
chr11	37749.832970797834	478762.3109375375	471551.37591880077	543393.0192336672	477369.1625706508	480069.752005023
chr12	36955.73733411095	488104.5912724931	468961.4889322575	541139.969598942	487303.5819251252	479365.84815864114
chr13	16746.06524443473	312109.04939668666	288582.34105145856	256707.84387130185	290508.9617796394	342529.1700688504
chr14	23927.815357179636	321376.4861502261	313060.6315033062	348946.14730814967	333782.5689659686	307318.5887882553
chr15	21713.11953497562	282452.4842428751	293386.7265534915	320962.00482367334	290338.14362756227	291952.6416892474
chr16	28449.619459934165	266063.2877740866	280587.5639816854	371392.5724433803	288129.3917814649	239696.95671513228
chr17	38092.062680809075	328473.2427130225	327033.7674030429	500610.2617840751	334215.7098320524	253688.45757297683
chr18	13924.782929494744	243527.54845310192	236873.9459181119	202995.43616220544	234140.80785616045	275250.4459743471
chr19	43836.63748515427	255784.96972133944	242398.30022997357	536910.3034489027	285187.3485806523	150619.47328360926
chr20	18845.644447798608	222875.51616724033	239900.74983858384	250884.78747472673	226521.02990082392	232590.056216797
chr21	7831.289378613514	110309.6704958252	110425.85035757057	106693.71407630025	107039.22166848998	116294.70284270486
chr22	15994.869125519903	133988.93847604629	155642.83354466912	194225.27083323928	154813.59991086007	107148.5743790578
chrX	15692.906107428487	439067.2383525051	420199.17792392365	364278.1837013468	416949.52106073423	573210.5327418264
chrY	0.0	0.0	0.0	0.0	0.0	0.0
