	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	833559.9329403861	822066.6862987624	892301.7549510249	834822.942540168	904053.2729008246	875955.7058444729
chr2	882551.9999461642	807936.5884460637	888770.1811376365	774283.7633058018	754661.3728107708	904165.9364172623
chr3	724704.8970631683	668482.5349678295	764860.0069598424	653743.9501849634	646076.443619514	711572.1183426091
chr4	647944.3531967923	572359.3910510608	619922.9901843233	570850.3864074048	452096.21917208435	717375.8293420485
chr5	641070.4337532278	579461.6080323705	635406.9025670608	566434.0398158587	516702.13412336225	685195.3339962255
chr6	623082.9712800499	579830.2241300715	651460.5809118915	590566.0493063538	568734.3923671773	655400.9759128984
chr7	572985.6696879001	525596.8459897159	555509.3989903261	507065.83149127866	461114.38616798405	595311.6074692925
chr8	523817.70549681893	472102.4252742357	500525.2715663102	449857.2086623848	412001.7467387819	574822.576524935
chr9	425133.5319447448	399858.9201551365	430313.54881726694	385468.43180201575	382616.5738299599	432663.497551478
chr10	491656.3527641407	463007.81679696497	519460.2477130585	443051.64676066424	478349.9408595334	522123.45932471205
chr11	489476.97520852	479074.2893897766	497516.9935671923	470748.80752802937	448133.7495289665	522106.46259531844
chr12	477377.6516059986	466761.10047295404	493477.53227014333	479685.56517333415	458702.71320144885	518152.3136430204
chr13	342023.5499893866	297573.1441150594	326437.28064332495	295710.967392004	239516.50217166968	375778.6960809414
chr14	321302.73766829603	307878.4865228499	332141.05113144254	309605.4589619577	305143.01257909206	340472.10961809667
chr15	298679.33836493234	295272.45088487887	324766.3581348292	284864.51450271264	307818.2327857565	301585.0381854747
chr16	293530.7826882434	288525.00035346695	298015.1884264604	291550.25281468814	319914.6885703226	305004.8915409013
chr17	306102.856418275	331910.7779964331	352056.3258911455	355913.90609825734	441130.3068726087	317700.54552612297
chr18	275631.8530177175	241693.56770120212	259832.98058903066	227471.1253529617	193499.8362356663	298401.4769340802
chr19	208618.86788122702	249735.6435374738	225982.6933654752	315849.6289663186	327936.85685245116	265407.83771323966
chr20	241191.66927430886	238052.32425876975	243348.10691369756	215204.44759435763	235162.76054822342	266500.63843877666
chr21	129183.51438727658	114537.57123881116	120333.99351122767	108814.7938138018	103428.50712444652	138006.5254620457
chr22	140420.74733577558	146571.9351638586	157310.4239856259	141156.6223736752	197100.4842413812	148933.08826254186
chrX	439089.4494604947	434638.2048703119	407850.8359001835	410823.46852019633	287946.72446668235	843848.9228334692
chrY	0.0	0.0	0.0	0.0	0.0	0.0
