	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	862764.4699431364	795303.5922183132	823000.4220134451	796615.9379644807	835207.9010942946	789389.6519154988
chr2	912268.7734884087	719309.634777167	738183.1668106214	739752.5360214416	709249.0265960208	788060.5775320499
chr3	749995.8597476025	591113.1644206309	560216.5428601918	591680.8126025053	567500.04184483	602378.10604351
chr4	689562.5286415131	481924.3764142408	373100.2380998221	469206.99388157984	374925.11399123596	535066.5126015634
chr5	665307.9642005406	509086.737958542	469048.7141820519	518172.7265104783	463404.1263240473	568006.6224587985
chr6	644464.3278973796	513800.104659855	473693.9539875409	510110.2550411991	476294.9685059638	531298.5491701553
chr7	597804.2732897215	468464.68436231505	457986.70565973	479352.5260839626	439603.47906841745	498869.3332198712
chr8	542845.0036873266	422362.6238669813	415807.6905647391	443921.3398262899	393102.0275828377	494341.87947039766
chr9	435743.7655627217	372504.0961284739	401988.87900988106	386125.50933581364	396402.12691251264	387765.7721775048
chr10	506406.4047305043	428758.3087817462	496018.774327724	456111.4553098805	461607.51470531063	485182.64162315393
chr11	503601.2945203887	458404.9475034317	479053.54514744243	466182.7328512431	483678.9942484025	470291.284481055
chr12	501055.98986704217	440405.0090341674	414264.31207060127	442460.54958573024	438105.5162845431	445697.56357664283
chr13	359670.65892081265	254778.01182673802	226998.8129360518	257857.1549271244	221151.11371413042	291446.1681428719
chr14	331530.57544756046	287922.50967257406	294792.3367138939	296251.10372717434	300808.94667599554	303238.6246269338
chr15	301663.8413146838	281402.83165530517	309803.62118542683	287881.0598592121	301375.3773603632	294204.4968509427
chr16	305829.54239261645	294581.2066073018	365643.1252600972	337304.5304100006	363774.80288060236	309940.37130510213
chr17	303950.0387633719	363825.60526815086	429428.2015443962	365126.70230578276	455345.9284583473	304699.72192962765
chr18	289158.4702058612	214388.5777535139	216079.5858792128	225957.76513052842	199505.24522005883	255353.83011259363
chr19	212296.46725286002	293181.8464573607	342070.3672427188	325171.5455994373	380215.7294163189	227880.68515127758
chr20	237360.98824401185	235234.38169594685	293099.37395659945	263801.9587691388	275371.74052580085	277934.3504392879
chr21	133998.6639513361	106206.55183623612	112804.25996517114	109141.70849611201	109397.66088515146	114617.39843154004
chr22	139611.9060279433	161752.6625475671	225846.7837066799	173013.69068267022	222114.5200629345	151734.07825835867
chrX	518282.1181177409	385065.7095443241	256506.82058739944	380179.0355282289	277732.98587058886	755971.9633839532
chrY	0.0	0.0	0.0	0.0	0.0	0.0
