	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	918004.7570767131	929212.500920937	973880.7455492709	964591.7040328367	1000657.8916782698	974130.2398767493
chr2	964940.912606244	933766.3913982651	965289.1434274792	888805.3341784868	889826.8778674621	993025.40657599
chr3	789632.3146854903	793236.4739310566	820844.6927005369	741520.8404364056	742072.0108666809	789144.940702186
chr4	738387.9967986337	680787.3668695741	701081.3063722107	656374.3339937456	588702.4217393562	757166.7339906612
chr5	711819.8386660027	694555.9896273627	688255.0942389757	640595.598272093	591696.6980779904	741250.5029641037
chr6	682072.0747823394	669779.6317382639	675348.2258619664	662572.5516909669	603795.4729531171	717256.7643857613
chr7	630739.5421580554	627113.1349666545	611643.0293406525	591006.0451304631	550314.160302822	644502.6526700918
chr8	581314.4420556661	569694.2818438582	552764.4574718393	514721.53981127695	477176.2293307373	617191.9745706762
chr9	460295.3166423707	452026.81226195575	480169.69216515863	454176.5724097511	489238.1305812358	476630.4946176647
chr10	543603.4719784759	526418.5745257327	574542.9398988996	512358.1230829198	574117.7304752703	568179.2916562769
chr11	541139.2787800356	526496.238626202	549096.7779103635	550621.3968596219	557448.4841013344	577540.2921916234
chr12	534701.5138136268	535048.5011211782	554831.8960107054	552084.6264747155	564296.7910071014	567806.9986881133
chr13	382852.5426495708	348349.71012366045	364496.6603033755	331704.83640384	309317.53661203186	405754.67472594645
chr14	357258.13159078883	359807.20018516405	369122.8183653813	358036.52721436473	370886.93917895644	381594.33460056083
chr15	326685.4572014529	335327.30984316784	341435.11038230686	331537.21205227467	332382.50579615263	340182.5031900595
chr16	331223.65664828266	325859.9089230738	319530.4089601899	351116.5868097745	346103.5577369078	352440.8975554752
chr17	333194.9367861253	369642.81661829946	374535.2790716961	431698.370655006	459063.7118273511	370279.9613457027
chr18	309090.6646853487	275691.38171043084	283512.19648756855	261785.70690685118	240554.19123017343	317646.01539113815
chr19	235509.2326273966	253646.51578261162	253565.46313391704	392578.070668772	350633.93563751096	289841.27006915305
chr20	263061.0166488149	295116.59316523914	268392.6673958274	262355.4717596637	272762.23227994255	306914.9226630049
chr21	143848.7026635826	135834.90369725748	134595.90044680785	126534.58587804323	122977.55420300196	147842.54470697136
chr22	152707.79773708552	150608.73809913977	165746.71856584263	172947.5960347278	196315.3147549291	174097.10082205886
chrX	323410.5812239999	353190.84473776375	318707.80774145003	332088.13242862653	298857.110665366	336267.33502355055
chrY	0.0	0.0	0.0	0.0	0.0	0.0
