	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	905276.1195983784	892092.7570331002	913588.2594724033	872542.997646313	885112.0323492979	915397.683385416
chr2	980308.5898067034	893632.410322092	897032.5035526416	843269.837238351	813044.3005948177	972004.1669483107
chr3	799541.5653217889	746971.1491451353	788746.119644857	714315.9327874657	712082.7812324733	798882.671006706
chr4	757331.3054339554	669127.6791785345	608124.6204875243	644683.9576113075	559106.438886061	770353.3825881695
chr5	719056.1065235358	652874.8324639434	636772.7652980285	623910.2586551863	577143.076073558	722143.7124165789
chr6	695611.6450249923	642917.5187877371	635416.2419150049	634582.8749726256	581509.961806474	703743.8919409988
chr7	623896.8951017293	569287.5240890293	531829.3075589691	552836.8880366257	487593.45383396256	623609.4312112514
chr8	586328.2054022041	523393.41830764676	489429.23452534457	494841.5393709991	444300.676691719	590694.0895918872
chr9	457671.08366669796	434899.3859896991	447537.06156005425	417800.5628415893	419998.6712913222	453453.1091682634
chr10	533898.6616167694	507529.06839648	552597.933382703	483333.85316247493	505386.9794898916	535784.9201858399
chr11	532986.550534767	520301.1997823692	505142.9997109764	502155.85177086	495512.0335489627	540039.9968103529
chr12	531523.200283855	518070.52994605165	522326.2381667078	512704.5564477488	497317.9294399262	540094.7905640922
chr13	394297.78121827974	345529.0016433802	309457.5907486806	327142.6227350839	278930.7300102545	399480.0669878571
chr14	354940.2144879958	339680.01844125433	325816.957864646	327886.2172852554	311097.60542984377	363512.4735463951
chr15	321967.1102087254	316460.06386628305	343187.66546336096	304319.8899325759	315597.22559858	319764.37148854946
chr16	315764.15550381906	304513.3330908302	297133.79678946664	302933.4259476714	285048.9849482141	299882.11770020553
chr17	316426.2316812265	349601.3654006322	359598.3413349188	355386.8995290342	358626.4030997191	318320.8771696052
chr18	316312.0337790521	269993.7609028319	242980.71520434332	252619.27957240245	224896.61124527923	308695.46152147785
chr19	198369.08088398183	262055.58870082526	231670.78360940114	324752.34328492463	267963.97215005994	221824.4699277287
chr20	256951.69640632326	248819.34215962922	246774.86290061407	232147.34279711233	233880.75829150513	258177.1715078523
chr21	142368.14779878265	127535.23084771133	123091.17585596458	120850.68097170425	119606.62191911215	139049.52715319284
chr22	140921.58905629092	149611.07541338867	161620.0397129048	145025.53847814308	155601.81181361148	136114.0832554447
chrX	312399.2426224752	328373.4006944243	300452.44289764896	334616.9706187862	297888.19580914726	352086.85181466176
chrY	0.0	0.0	0.0	0.0	0.0	0.0
