	hESC	HFF	density_hESC	density_HFF
chr1	676161.4562283505	52017.85218747101	0.002715983186119017	0.00020894360454566226
chr2	673018.8976696	40370.24277152401	0.0027788475623128643	0.00016668588520184623
chr3	557766.9816629494	32794.246027734	0.0028128062195429673	0.00016538063783735066
chr4	488718.34557840007	27226.217389751986	0.0025693004700844267	0.0001431342485318854
chr5	486209.74782575	28279.764647567	0.0026782770227280297	0.00015577853838273837
chr6	480570.3226572498	29360.560248924987	0.0028135450847259266	0.0001718942183453952
chr7	436212.2284886498	25060.887591408	0.0027375164886573556	0.00015727342912775087
chr8	393692.3345208501	22581.177171136005	0.0027125260741795183	0.00015558350135752967
chr9	332033.3164150499	19340.813719887996	0.0023991762374502338	0.0001397510984461061
chr10	379821.3172224501	22455.568547688003	0.0028387790403200004	0.00016783259506814716
chr11	381388.45842299995	23751.233774869004	0.0028232881448690007	0.00017582224962934526
chr12	378716.21229185	23281.323816812	0.0028416082103538774	0.00017468594889404458
chr13	253135.85192249995	14008.831327193999	0.002213416161746694	0.00012249301484282756
chr14	244379.45687359996	14567.968994503002	0.0022829873759952915	0.0001360936378770308
chr15	232092.96177815006	15015.124561378003	0.0022756177671205504	0.00014721982073743648
chr16	231366.84281814992	14648.887739652004	0.002561114472687649	0.00016215581256942446
chr17	253060.47656699992	17611.788472858003	0.0030394938101328374	0.00021153410747824935
chr18	203610.37869689998	10914.717078696	0.0025333091548628375	0.00013580031074623863
chr19	182580.1690197	14507.668635890997	0.003114766199630159	0.00024749673606464987
chr20	185803.46538425	11029.970087407999	0.0028831696340221144	0.0001711554451065835
chr21	90316.2646357	5550.774953957001	0.0019335537894693733	0.0001188348742057346
chr22	115068.81990675	7038.949279564001	0.002264311074996397	0.00013851163871299703
chrX	219843.01158615004	10776.691793958002	0.0014088807397967696	6.906325289891474e-05
