	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	48398.63177131116	767660.2948139741	777082.8810716182	801243.9223824716	784484.0036054611	747277.7319445255
chr2	38755.0924352154	836413.803287343	846096.4831254996	792599.5667712433	804005.3592487143	849649.5932162198
chr3	38961.5408459261	678767.256437069	664705.602977014	632862.2003792665	628689.6137471664	754836.2192749468
chr4	21567.919762216512	549640.3451386073	531070.8172775342	496860.2241490569	505609.7839981351	617121.7756803159
chr5	28899.43389610499	614456.6776791855	595080.3672845131	573769.3768329391	547518.4309905487	695958.8936648214
chr6	22249.68766311556	580448.8533182975	591332.3419049914	583364.0824107849	571252.177473413	595838.8869552704
chr7	31144.362487705046	529697.8691821769	505394.2591735943	516069.20647891954	483953.35061999364	632495.36177189
chr8	25318.37388729454	455112.0276122296	444610.54259088956	427937.5161461414	434478.74613179883	555010.2832022778
chr9	20549.13514700085	392964.47992643784	393243.28693787963	401712.3525691556	389522.3320412515	413961.77160325146
chr10	21091.875918814545	464689.1215589369	483134.7569909923	455382.6336281176	470866.7297393368	491989.27915824344
chr11	21408.478036393222	405456.5489016684	401343.4143101243	426866.27655566495	406247.64395020186	414608.9491736176
chr12	25492.59582500755	476088.6356796405	471300.97728561464	489913.8453873417	481178.5484464359	486660.16928682005
chr13	9696.51756252348	260367.78463472574	259374.26206538276	237807.61442406173	249406.12959241707	297673.9100595399
chr14	21937.98227310032	335398.62804654596	334328.6444259511	335744.9360527883	321974.71077192837	344659.1180195215
chr15	15419.64716415107	291043.12468736694	296220.7018426362	294439.5590093145	283569.932304113	287721.1020468902
chr16	18299.648420576752	277286.028259294	287042.2144168918	339753.74670071347	307029.8777767685	300027.2626335154
chr17	35052.955074425045	308666.6438744632	322454.65858614154	387748.17871352314	354251.0116755255	258943.64881541688
chr18	6649.564727795123	188983.77749111314	182270.35223823955	173468.618605127	177685.2311130168	238871.94400826417
chr19	21877.826268926263	212832.33591128731	198818.53498551584	371090.6637822567	289347.08854500623	158264.82572375136
chr20	35324.49153006226	248429.94553696678	248291.42334668903	247392.10260583353	228590.3116109237	256103.6091067235
chr21	6740.658219966293	112205.93263176433	117723.51163920149	111204.17155354793	119775.5027834482	115862.30082166982
chr22	6368.684462355078	110482.83417700823	121760.75463599942	130622.43443188039	135843.3527307353	81129.2423599334
chrX	14794.34157322943	372429.05269969243	328004.9362935378	349179.36454907415	329191.4583636103	461932.6078187862
chrY	0.0	0.0	0.0	0.0	0.0	0.0
