	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	62688.11540410654	798931.3771495232	471761.4756798106	486514.14731354034	884987.4129904353	708334.7567122921
chr2	56635.792229723374	760194.7383971004	389820.49869099166	357553.297616653	850283.257260933	753919.8284855194
chr3	47570.44581237145	629096.522874923	293043.65883703134	287068.71494977374	707399.0217814471	641600.223878737
chr4	41117.062395725705	551615.8227667656	219015.92550906914	214145.18531177164	622217.4336410884	594831.7914390604
chr5	41287.12104062066	546861.8903204532	248199.90274424173	236970.39118855807	603944.8860520142	573019.5622995399
chr6	42936.149352393135	548420.1371204739	258428.4878316431	283025.34315183	626620.0319619504	547038.4396353577
chr7	34381.71070772478	488055.48576310824	258929.5648010835	255200.89484010584	528098.9955426625	479502.43197368627
chr8	32395.766642678434	439036.60025391215	218141.47481951202	204633.90687923372	466918.29772472405	467394.0444928036
chr9	27550.63093802568	378933.9315905342	223795.21375932655	213396.54284868835	407020.17460593756	356843.345542186
chr10	31772.682104669697	427004.43633438495	249118.2292647231	222778.8024901111	470060.63132629695	417353.42003918526
chr11	33534.58228254276	465648.5196527571	264208.7487653717	256470.63511593983	487449.3520942295	424346.3120335723
chr12	34888.16485782721	447250.5486654759	234677.71410293865	259973.15359022262	515266.03199671675	416538.8372854639
chr13	19927.194162003096	275273.31144196354	119266.44708173763	109105.42189926708	305964.8694363937	304398.6913839869
chr14	21524.775674092565	295390.66972690995	162308.5246410262	163030.2996199419	328571.7842003308	283595.1298107118
chr15	20502.27797528838	280916.04869316384	167253.74681169583	162989.09144519366	309528.0671021191	250991.95488608844
chr16	18805.82572601948	271327.5282531219	204031.77686840654	208592.79995932936	277262.1721000479	230093.87588473727
chr17	23710.990391190415	328867.71089373884	261704.68801529668	275574.3878757071	344818.06177743804	226260.90355305246
chr18	16659.510654702368	226953.84956140196	109029.31218032991	97330.61562490839	252717.82423417838	243510.27592682853
chr19	18358.51248139725	248016.5480659323	217444.04056126438	297236.6303339826	239475.65751729335	146722.22747488657
chr20	16040.711144398038	229337.35811637453	151105.26866294202	135121.68237307103	234350.41345619588	202840.17114638747
chr21	8249.451631083317	107628.67788994925	64837.923302938965	55690.226935272396	121349.62897689654	101503.7114567375
chr22	9302.802641871825	141459.64064749924	136177.96926381782	112211.02728488638	146517.00063866022	93993.9603039075
chrX	14987.989007566608	278103.5700623602	141589.66822789662	178078.3500669653	278028.4817501597	281137.16579614545
chrY	0.0	0.0	0.0	0.0	0.0	0.0
