	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	65112.16254967526	896710.8682302154	941623.1429678631	876879.5720099267	981694.9300647054	846149.0147686768
chr2	58073.97682287918	934313.1200725891	943000.3507464479	925806.2233570813	886009.823991863	901010.7985575233
chr3	46303.24923593255	782647.1999126431	796428.5032886505	773904.6409137497	750076.0797970671	745685.9215082752
chr4	35391.630874776085	738539.6430201782	685283.2291903705	740523.507124851	578862.5754388473	716898.2982699685
chr5	39583.956377001115	695464.7785060108	679963.064553862	692082.6951488557	616666.2226191707	671022.6574963289
chr6	40020.486942372474	676366.4657947327	678563.6822543874	669547.0120828032	637222.0089573752	647375.7682119526
chr7	38360.10611622483	601651.0728449894	592293.473533529	597934.7046777733	553233.84568281	578414.1790414801
chr8	33996.291814393546	562132.6187631448	544475.3537981767	559140.7849355035	485634.91854776064	545874.480512493
chr9	31084.258535876124	442587.21893506084	458139.0771754266	437725.6871594394	454924.98384796386	422073.6507041886
chr10	36404.5708430566	515478.84884393733	538311.3859915286	509835.6867867241	528272.4918877918	497801.8024912569
chr11	37361.458867335336	528992.3749349517	535852.3483642278	520655.8170915541	548196.3354793584	500788.67636192386
chr12	35124.305421399324	530608.450412025	540606.4606135928	522476.58012735023	552374.3302772754	502516.6767878601
chr13	19547.56024176404	381185.93007084413	362351.820994485	381101.1025774656	314446.9084868347	370125.28356576554
chr14	23597.85525659472	353602.1670209444	355813.9074651976	349531.24584197474	352847.1260112076	336492.5917910329
chr15	23333.06564024762	314438.05793388264	333825.2344554186	306449.6324092085	344888.0718014587	298645.94947372493
chr16	27959.39884199873	298401.5214023072	312345.5376107827	300637.6568779414	347454.9725939762	284344.8467666653
chr17	32093.077630988508	325984.98513650236	368676.3851392079	315410.33459223533	459807.80310378084	295988.4536330965
chr18	17314.090588926527	294403.33473370475	282898.01308277296	293052.3178235068	247747.68747209708	286569.3111622286
chr19	28404.493261266503	240179.29352605628	255626.2525088423	240338.75288113748	352591.54658058606	213776.5376794583
chr20	21228.851787085827	248079.8037733489	261866.98188237997	242925.41432634022	277684.7809967343	239029.54837287043
chr21	9181.42672670409	134579.88254638755	132700.27301045987	133508.45740013442	127531.66244281597	129694.86720934091
chr22	15444.912831740083	138581.04727031832	162789.09055847372	135926.84342757944	204021.74545815852	130194.13939350407
chrX	28150.74108017832	565119.2842487914	464544.41156724264	567571.3652260628	378142.4687106199	602326.049316792
chrY	0.0	0.0	0.0	0.0	0.0	0.0
