	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	854453.8420330775	919797.9857980534	960364.4404568339	910866.8093039142	948183.2034650571	964423.6952664234
chr2	917127.2895137804	960454.0268288143	966868.8332383281	891440.9061454938	898147.67722739	1001600.0417964249
chr3	742616.0635544833	804923.6356362362	810706.9769569517	744335.3277620149	740803.0035706001	801161.2281375604
chr4	688431.4400388259	764766.1838686113	726117.5110756794	686369.1412744888	649130.9592143559	765624.1613573488
chr5	661379.5325519056	714616.0457797705	699170.8620610966	657169.8136094965	637932.5115626594	740250.2057507441
chr6	645009.1459278584	697747.4488490971	698126.4758855853	664425.6013594295	655031.2754443547	722850.5940141646
chr7	589288.1585816669	617624.1850184366	609380.7680020711	585644.4345144946	565908.6535551851	637875.8534315047
chr8	545150.446259883	575406.9108199824	559241.3101065309	524106.0464979273	507917.34099044953	608585.8924588487
chr9	426558.62138944026	452772.9837440358	469155.4373527682	436570.8024413958	452719.7448620208	474852.29202500434
chr10	499065.7404957857	526195.4595176004	548882.8723183876	498420.52512238175	520226.0377327124	570427.5947518194
chr11	499876.8940096407	539551.0335560114	543065.9013250513	523791.45923791244	532402.0129334314	569684.5955220157
chr12	496038.7821250951	546420.7047928286	552225.0985486946	532039.035339715	538585.2002669087	562931.3572994975
chr13	352540.7015282695	390590.86468298966	369522.8214112167	350330.3566342016	333333.3982244022	403560.44066610176
chr14	324277.4297014561	364235.79635125276	370413.6079780313	351392.09233760333	362331.70989624906	371526.9327215104
chr15	292688.53065858415	322616.6107821948	341714.18179330067	316642.9834222959	328995.92196113925	341268.24925751064
chr16	296335.8149026658	300573.3535603143	313527.83634632436	316022.07899873244	324327.7804885184	323861.27309960156
chr17	304018.2748473204	329545.4560241122	365941.2447589636	369029.5986574349	402969.3218712813	354511.1109012984
chr18	284238.0934417677	301781.50377698516	289381.8608794205	270021.01986282883	261408.84772053186	317843.0573437542
chr19	212368.86763910484	239833.1244622029	246673.08059644056	320689.2849632301	304513.5525394975	257661.27830171972
chr20	239016.90605534872	249734.85544318013	261142.68253054592	242185.98084822603	256145.89857379947	293857.44897006475
chr21	129825.13230154183	135965.7742656206	135780.3755854639	127442.13356220009	130092.25284190202	143392.8079520636
chr22	139103.48286665953	136790.77164558365	154314.39371371132	147253.26975422094	167183.44426901126	157035.17513612736
chrX	297844.6929058598	349108.6395323807	323302.00433858816	330391.62108413596	310696.0980485784	331138.2500915541
chrY	0.0	0.0	0.0	0.0	0.0	0.0
