	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	63921.0956576858	843735.9330605685	879147.4158919496	831513.4115959886	867023.8142587441	902108.5479120098
chr2	57723.00938198779	873609.3373296768	913687.1853170774	904790.923710097	859234.4640679592	956133.826647159
chr3	46541.6892905015	727159.3201185107	761045.1942881992	762569.8074919495	719899.1441099887	789023.2464572757
chr4	38339.47752595763	675547.1695945269	686894.1145808492	746123.1741749542	637409.7255055183	731718.6940230508
chr5	40667.89001335119	647170.1359876847	671311.9859034023	685507.7727270206	625284.2157066272	713118.8802696211
chr6	41028.60557684905	629082.4769245642	658775.0847144945	665248.7411583898	633703.4574758247	682070.0085471022
chr7	37513.72523399246	557710.3434145747	566444.3593253745	579060.4826699151	541906.743336393	608415.9203932297
chr8	34019.8044452895	522588.21967569954	536075.1756596807	545796.05442475	503420.14936672844	581257.0919454565
chr9	30508.51360664936	417659.670804418	436367.49050785287	416600.1318251973	425721.7767906011	451690.07024912076
chr10	34195.348378853996	486746.8159140542	508406.98949551524	484642.3740830827	480162.9689464061	547536.9127449502
chr11	37383.03065356785	502631.57908611704	514704.4795391643	491624.4832344777	500793.6726385173	547314.5291863717
chr12	34349.90173438932	494947.14313315303	503312.75178231	503979.0641056204	496589.79868103104	534700.7688371894
chr13	20168.272422876576	347993.8987070021	355821.15176919673	379817.78679547645	326632.6998179573	383359.3003240577
chr14	23379.76986179296	330939.90500377136	340668.97412091255	337529.7044017657	333890.05267695227	352950.7186193523
chr15	22076.748571531134	298530.7432150667	309036.7070234923	291268.636709023	300598.89196808904	327941.612123757
chr16	25303.67673791191	283255.45661749545	284804.24397101864	261364.86659973182	284158.6776953421	311289.84213325207
chr17	29712.36310160267	312257.85845061555	319132.34697459085	274354.64798134996	337885.71822010574	317342.7843221639
chr18	17349.703688409787	274887.75816524064	283384.84828364773	288377.0014182091	267072.8829520044	307642.62073502183
chr19	26652.837577583505	219715.53916538073	192475.56551664742	204056.03049603142	228311.8070256494	201208.29977509315
chr20	19770.57195389657	236795.0794755816	240918.02741832542	216629.3578136514	237083.14415190977	268825.015919218
chr21	8820.717061239295	123921.44169082819	128071.05950391381	130674.60404401331	126404.06240118733	129052.16430193676
chr22	13574.249683989585	134068.37546633158	136647.5100612173	109080.9578325132	140491.64789642263	136626.70753251205
chrX	26956.400259238257	490344.16869783134	451584.61827354145	584760.736421277	439461.9752457438	494362.22997649794
chrY	0.0	0.0	0.0	0.0	0.0	0.0
