	hESC	HFF	density_hESC	density_HFF
chr1	625195.2695022695	938174.4499999997	0.002511263876945779	0.0037684283958740366
chr2	620354.1769113655	897351.4000000003	0.0025613986445994826	0.0037051006428829906
chr3	514159.2731439143	742871.9500000002	0.002592893535976337	0.0037462863704375757
chr4	425524.4915937608	635970.1499999999	0.002237076398248077	0.003343435784921926
chr5	436378.8448684936	604151.0	0.002403784454430036	0.003327954136653916
chr6	443782.3436706724	643729.0	0.002598166330410907	0.003768773223096599
chr7	400304.99329596775	505714.9	0.002512175147946586	0.0031736911230257447
chr8	359698.2929757444	485847.59999999986	0.002478308346343729	0.003347472550313893
chr9	311736.4024694646	405779.34999999986	0.0022525166366680355	0.002932043641521373
chr10	359263.18394490756	459214.05000000005	0.002685127849062051	0.0034321591786723666
chr11	363078.0839202369	475428.3499999999	0.0026877427131180827	0.003519433256684736
chr12	347918.4800131122	496029.25	0.0026105246547439044	0.0037218390542242148
chr13	230958.21138634847	310191.85000000003	0.002019495199467691	0.0027123129687781668
chr14	228075.1762070746	293984.1	0.002130673153627517	0.0027463928336270978
chr15	224404.02602370718	335447.35	0.0022002295318246283	0.0032889836199477976
chr16	224310.7844962548	214650.6	0.002483007459304848	0.0023760740801704967
chr17	257706.42995125195	307642.95	0.003095296070308622	0.0036950805394078833
chr18	196083.6052777615	232611.45	0.002439661453152767	0.0028941388920460326
chr19	162250.8745359622	136837.80000000002	0.002767954168179788	0.0023344142825597004
chr20	179852.8064558158	187823.65	0.002790831425531744	0.002914517461293277
chr21	82932.49306724498	106006.6	0.0017754768411550265	0.002269463467798736
chr22	124099.4311965052	109187.05	0.0024420144109126864	0.0021485702796077994
chrX	256671.589954476	183261.75000000003	0.0016448994986505044	0.0011744469294411573
