	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	67263.11719461458	900701.9988113879	896581.1278299908	874447.452054526	882107.2839309614	928212.1597897795
chr2	57919.70333230206	911169.8987222073	953828.6531117988	874384.5084523095	878932.1953884801	985802.9327256022
chr3	44334.47046252406	759354.4307956895	798304.1746739635	735857.4367903008	735516.9212132045	807771.6166880217
chr4	33044.72159541471	709012.0693548872	741497.8559578183	701155.694554975	642496.4558845	759083.7817184692
chr5	38927.99787752328	672581.5149752914	713370.0383915567	659824.5238876799	662560.4163571756	720156.8822674551
chr6	38479.78364161173	663185.6755714956	694122.2462426077	670555.6602004346	650262.9837807018	708036.6215850263
chr7	38439.02558393161	587534.2515482258	596782.9541324404	576515.0205525184	539949.2654634785	625376.1135374807
chr8	33677.80337112933	549861.472837035	564022.7469452071	520899.5973349634	512281.49044004997	591616.0574055924
chr9	31904.033288583414	435055.66608501395	449574.18292398506	419739.2514515164	430794.99197322584	460936.58306851663
chr10	37331.125172741544	507062.6988844502	521678.04334740335	479859.9908468381	491262.78740669525	568935.7536994569
chr11	39214.250278274136	534808.1057663457	530294.0550772357	505472.30945736315	516657.00282433414	559038.2726646449
chr12	34494.74480456169	526306.9822962142	530465.8573777424	520460.30381588294	520251.9431024428	539373.6322195567
chr13	18204.45188512244	359958.10955962527	384883.3181094857	351145.1038573376	330460.79600261466	400087.77233335347
chr14	23554.519074893535	348023.35887117573	356421.239655143	342970.9983656381	342729.0625912595	361932.6031708274
chr15	23918.32823223309	312610.3381212936	319457.3641122612	302298.2528905352	315177.6812831962	330316.9863300986
chr16	29887.108767196456	296135.58954568853	284946.50771598634	289773.48984141904	262714.1641382428	324012.5632528973
chr17	34821.78144237179	337813.276435126	309821.23981270986	338679.03321296355	338906.5589330864	315728.6140514796
chr18	16821.695658486664	283616.4059727594	304203.34691137006	268104.4276975866	272450.92627226433	316237.44806813257
chr19	30726.985261533457	248311.41721694055	184156.35160090253	305363.9555681516	206035.07468381847	192721.5822232713
chr20	22902.816660655295	249108.042497695	237596.27889127916	224167.26555410004	220561.05993367056	272103.9266418619
chr21	9079.026489518026	127469.39646310976	129939.15874525068	126499.71042926636	133408.52508962736	128662.29565101546
chr22	17096.031410974567	140025.31211047628	130313.2354485616	128512.14358353341	134688.1190582133	141693.1718611227
chrX	23631.593643625518	505556.8312001434	490711.7783591722	555473.361963761	380946.52389811806	476468.20120661485
chrY	0.0	0.0	0.0	0.0	0.0	0.0
