	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	65268.27933014991	806407.6978678756	984960.5127209877	1011787.0580302848	1022511.8117887991	976195.0487000712
chr2	61117.689317846576	786978.4368352785	945085.6934405618	828742.7985622701	899451.2705688638	959200.4861145425
chr3	49841.97699707244	646792.6031295129	799407.2241438776	692464.2892999051	750303.5652184803	738347.1279874216
chr4	39666.627438101	549233.9009570278	657894.9289545643	557422.8233876367	582639.6109586963	697735.6167233604
chr5	42986.88438161592	562324.7654413068	676997.7459110332	587214.9805502357	632122.2908477349	690155.0169472867
chr6	43408.80809705742	564048.9595293464	677599.902695089	646542.7836066026	646788.1636075923	670993.397954199
chr7	39086.97901159554	511501.08834400284	600218.9372836255	566564.7036268531	577134.7840301495	618269.762945141
chr8	35949.4144029119	460781.8607136938	539480.3897390586	472527.1971784558	516598.9160276821	583974.3859792703
chr9	31397.26380593365	392062.62108499464	477728.4323573944	455730.74831742473	489138.6452776752	466730.89300106716
chr10	36881.52422518693	459548.5144688545	563927.0710160368	498580.0169272882	565534.279818699	565151.3719144443
chr11	37290.81629974554	463056.98766005033	558532.1685226858	569863.1086661455	580913.5672413304	567732.1524201421
chr12	36208.425442251464	461023.5263604181	549724.4602585603	565770.9788501905	557973.2160195587	531272.2525778216
chr13	21657.21190471752	292308.1302903784	346241.2165492152	291260.6081450563	322330.7351665801	373097.94248725584
chr14	23928.84032215793	302692.563601229	369930.3287683676	364298.2236168895	373167.86620436434	364599.6043155602
chr15	23455.158984999078	288728.80476110807	354101.66848405474	344779.2453563452	351748.63281545776	337309.3549306052
chr16	25033.523889919	282962.684072895	330742.714528206	391925.909291177	348731.6155440905	353228.4398485155
chr17	28091.10250395601	328574.0541944555	416381.56524372095	526918.26544918	480396.5572369916	386635.4451313132
chr18	18059.02401489671	234631.39644724244	270382.06882071035	231617.42119804048	250684.52731000143	299520.33429546485
chr19	21814.73586185901	242313.34467476804	282275.02911635523	515902.18728175387	367988.76060822775	300512.0233920083
chr20	19829.34921132261	234370.14153793373	276682.70343835757	273664.78964172135	282333.68867960625	314615.59413662436
chr21	9306.464807315917	114693.45901610567	135856.74049578837	120649.78893829657	137306.99895696543	138738.701090097
chr22	12792.50262596365	145559.52293681272	188268.23064893307	210774.0936333321	220191.11678616013	178085.95970120988
chrX	17821.178159649106	287994.7454023772	307065.48045224894	330290.58145823074	311928.0293022688	317188.8716079648
chrY	0.0	0.0	0.0	0.0	0.0	0.0
