	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	898390.8971951279	946790.2454458446	931143.7178620676	967803.4437354279	1041666.1250572727	910224.3570875096
chr2	936903.5213201548	983390.9503660714	957560.4685707778	860993.9998955298	875753.6845204716	962229.4557529775
chr3	769454.1210696411	822043.5447110661	808539.9636009918	725361.831171778	752529.3634268055	784481.1904040885
chr4	698753.1734667455	766682.9237333174	716056.3011338831	611228.726244236	536484.8579891503	764311.6520097011
chr5	686435.4071005075	728114.5641352343	700262.7561119818	622951.1645025557	604219.6492709767	719892.9934723538
chr6	661322.7570326984	709322.2340867326	691639.5691304435	659792.7754607322	664159.634347014	691796.8235674225
chr7	602830.3045333666	631009.5073286189	605699.0406083064	568307.0423527509	542815.6719103087	619569.2963279744
chr8	562890.2112015724	588541.5221708706	559723.3064189376	491430.50579891703	483802.33793947636	590016.8284174483
chr9	447984.59423277207	465897.19916426507	457166.4663698613	435476.6040992514	444795.5043821215	453006.5345602565
chr10	515334.2692278131	544170.9659544815	543893.2969614919	496845.1499601021	559471.4749430898	535187.9866813873
chr11	520962.47268389544	558916.2925894245	535651.8722131419	540898.080556025	519123.26629336225	541050.7366214638
chr12	512187.6808817434	557529.4660018245	532706.6667910134	550845.5657427296	532481.417325581	539308.2268540317
chr13	363465.6791226939	396316.3987595635	373211.27666125936	318396.04626207356	285923.3133986149	398241.63757410535
chr14	341543.52621632925	370708.76319351397	359191.57985011366	354390.5337226801	352636.0017851601	358809.3545769948
chr15	318807.72469209833	333350.9029147609	332884.9551743202	325546.90835705516	350294.5772109761	319002.562421005
chr16	312965.2950253897	316937.7800947992	314019.9722003581	347043.1701752553	356660.87094544404	308255.78775224136
chr17	323793.11403185624	346592.512715325	347726.72701885976	440548.67872492416	503918.78286095406	322326.8014070552
chr18	291443.63220340636	308243.13360083854	292835.6278892781	244922.8261576689	225671.92972893923	310143.34923248505
chr19	222269.79949246082	252074.68492954943	237391.1594225703	416963.8145303995	371759.39134836843	234660.18541959225
chr20	252512.2242700456	262006.42899291476	257680.65078921293	252561.5617339659	271287.5856782805	263049.88077641523
chr21	136723.5537947331	139396.89383566545	133344.0985368427	120044.6320345882	122335.09772168446	140863.52377637458
chr22	148771.8063490569	147566.35401239435	154551.32322591147	172408.9843068965	219506.96261329346	145818.39738581018
chrX	508786.5236223882	581174.323367617	522193.1007683658	444803.3775509233	342075.2251859602	696593.9416210835
chrY	0.0	0.0	0.0	0.0	0.0	0.0
