	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	56316.399307078864	865191.8352708416	715395.6001299362	980967.3146725601	722074.9001227099	830329.0004010889
chr2	52547.2378088181	835242.9672900303	712257.7820241598	783662.5832097857	655818.4813256753	799224.5727342152
chr3	43166.18505000534	687554.477493765	576134.4725838572	655724.4460330618	530717.5095656685	641354.4713108641
chr4	33018.52900662411	574769.5187877417	478973.1272252838	505119.1259836379	406610.03890291625	528121.5075428332
chr5	37778.39892331817	602562.7255614942	503087.9545665604	566116.105910051	464851.4787707201	556191.2186201104
chr6	37226.38877980711	586941.2288955757	493348.1616204124	622909.3930851906	471554.2122260026	540835.4320884967
chr7	30522.82668691501	521938.1907666107	421878.1024156197	524700.5668644588	403323.06183911173	468307.2589486558
chr8	29265.221908329557	501343.043629415	409874.3592062481	441751.3581560469	374607.23583986535	476200.2658049372
chr9	25702.31966307131	413471.36913300975	344865.6987859514	431890.47865943034	337207.1209099279	394052.62329684704
chr10	29555.04855821746	489834.86179216614	397293.1855659172	463418.02303820086	380990.9646865997	477128.62038297975
chr11	30879.531257034316	512928.8231283417	410727.79003652337	562427.5334099592	419937.08467445563	501115.95227771235
chr12	30326.82218730482	486811.9600350431	397736.0476197957	566849.2707810197	412319.95762214955	434883.44446424826
chr13	17469.57611539485	301253.81869754975	250595.4644702	250677.36901582757	223104.95140269192	290874.0985147129
chr14	19057.51895425485	322298.03824553074	253497.84264665566	343831.46393849526	255023.6428634776	293547.9598923529
chr15	19300.133884410305	307790.0813231837	263158.219303854	335273.5099565451	260393.891106858	304070.3079650432
chr16	17576.08520567939	313247.45759770664	231554.1492964843	384949.8804389671	256884.94980347907	263765.5818038956
chr17	23431.024455625244	340086.3507963169	288157.29522217845	523638.2531324457	342871.1751338098	340447.53705561353
chr18	13858.339455623389	258542.4417091737	194271.52879086355	201690.66354520668	171642.40067018068	240415.39595579347
chr19	17574.57991008067	252698.18634103844	179099.04722470845	529449.0848762671	271652.8701821886	194097.33800053454
chr20	13643.18579135034	266056.12598037923	189762.0793343749	262535.782078271	195073.28668718436	275263.6794648235
chr21	7403.846795804379	113552.53872348244	94107.98861397359	105682.08676077747	94569.50886949732	109901.31653355085
chr22	9556.379740064172	151642.07248299647	122440.62908869932	197789.8781916309	140563.6431992833	151337.271847814
chrX	14974.523387123718	306649.9574469258	230384.21899687836	294734.0787310662	234377.39977901074	365723.3124167777
chrY	0.0	0.0	0.0	0.0	0.0	0.0
