	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	70629.18678486523	806651.9697178365	775279.4181352562	766224.5784112639	724467.8413423107	869736.1545888339
chr2	55656.45343210933	845422.6806171429	804036.3687912883	767465.8496574488	730713.8459287682	898570.6491868102
chr3	48388.77117083561	694462.3049016078	654350.7493302856	638371.1779456916	590667.9650874202	714594.8740176457
chr4	31410.535647481043	586883.3512628446	553770.502057814	526199.341670476	499081.27499993885	595973.6382387638
chr5	40288.42517720905	589193.3608331253	557010.8566868992	543758.9879739607	506976.2670610306	618749.7150005498
chr6	34901.43787082266	558093.3355530049	545935.7359805867	531557.3077104768	514931.6524711967	580562.035578622
chr7	30432.697640064456	511196.2163710907	472818.8709324064	486770.71217571775	444222.4807125804	555027.9592865342
chr8	53051.63206109253	461726.24574734917	439294.24020118406	423455.1186080811	402709.34233712195	534739.3980195266
chr9	18884.06359142475	339014.07611760905	323767.583460624	331743.03503708367	318839.47913020244	333079.6938122916
chr10	42160.348407533034	402419.22851572745	393025.7964324604	385042.72072361666	384532.95667143824	455639.0662331758
chr11	37251.59126224518	476132.93601892056	432937.94635808474	456535.8267783638	401372.9825786798	544463.7881052743
chr12	35155.93458328899	469257.83750421414	436648.4379128544	446295.7894254969	410813.9456822133	516046.88601092505
chr13	14373.957295667113	291859.4151767041	276715.39319363155	264988.7358138034	257898.06650212148	326538.2312896675
chr14	25348.820072678147	319851.34457455657	294138.0480235584	308601.0184420088	263992.7270549514	371007.2838066684
chr15	18047.242803673027	271762.1801865138	260396.75592448234	262628.66068027134	258364.01243214784	306426.04251573636
chr16	12941.649034674641	216186.44623083164	188725.0563462248	238777.54693104274	186474.84266517535	238808.4452037316
chr17	26856.471537387173	281766.2000587276	263955.4850044412	306511.1593335931	270233.2341876256	259321.35706732594
chr18	13283.826157043875	231600.50547544594	219323.22737723554	209022.59366517473	208590.7161357115	293017.1325689509
chr19	19305.73625643113	194949.84364086654	152408.5030720654	267533.9527315054	163699.23760669574	158917.20581314253
chr20	20687.374669243763	230217.10364192436	213864.52915431952	218288.0511063411	199054.1272515691	296662.0215177196
chr21	8628.811103771846	120402.80629487864	113291.0724669239	117421.94281213978	113410.0752177933	125654.31852799848
chr22	6716.860445159475	102961.54499489111	96354.9078577791	113030.06280842786	104933.75327497127	96163.98832476806
chrX	19015.264703573128	397463.61174855963	347143.49750084465	387932.31703946873	325939.1005247443	407740.0998929764
chrY	0.0	0.0	0.0	0.0	0.0	0.0
