	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	61741.656204146704	869884.037265728	900099.6706521794	853894.6189591713	914188.6808868033	909856.1290546022
chr2	52813.88458430277	859022.963469028	926301.0146893781	881306.9067120786	876988.9250830025	955641.9115194548
chr3	43628.14355638251	709044.7914554164	781090.0462052226	742388.9540054684	738180.8226407744	765367.5535562921
chr4	35287.21385465008	631049.1885570098	712308.5274009168	709027.7652481871	656410.5841329081	706355.0227130709
chr5	37986.24310371185	629204.632288256	688835.282237013	665983.2321996831	649387.7301635885	697592.1207022957
chr6	38389.212203350784	610980.0201409223	671353.3876031081	655723.4546993264	633897.87528698	680005.6871305777
chr7	34086.64774451449	554467.2741261218	582361.7593354371	567752.7672823393	564975.8979273385	597029.4625294094
chr8	30564.042028734515	515302.8791271004	546491.374743326	527911.9363191362	507137.6894546554	568862.8766602649
chr9	27666.571735428784	423672.8936218554	430631.6240150761	413543.82357667043	421614.72720968036	468502.78121000197
chr10	31910.066970301323	495566.1966436953	520369.797960863	484043.6746698064	518646.0360601921	537555.9949630003
chr11	34861.936577577566	523344.53795695194	518456.8095530443	495143.04541391274	508508.5698771728	554876.2103521965
chr12	32435.97875501634	498327.60553021036	514482.4423829478	506126.4772499901	521015.01185963355	535046.3048331048
chr13	18354.375450757885	328095.3761996975	369041.6749080175	360672.9792441891	333468.6571384424	371343.7167292332
chr14	21524.745166970377	331452.97669166885	339861.4314422923	334779.54456503654	335719.11005122954	357414.97289002547
chr15	21053.529539209794	310565.94393240067	319896.15178743633	298635.07724263915	322013.8728327371	337008.9539029965
chr16	22882.617416089775	309902.1278208578	279451.2933282038	277655.0574141656	293125.86990794115	317785.96078904025
chr17	28503.930076689558	347953.714480252	310741.96375899226	309349.39650253265	351554.687109931	333052.5850716178
chr18	15884.034656484097	268721.17660463485	296850.8998012265	278581.5964089368	279218.6089087989	290933.2403818219
chr19	26893.053170527706	256170.1490227349	185825.9017599384	239777.1132164151	241400.99564480843	219082.20809895868
chr20	17350.680091018792	259098.8180308824	235681.18962402118	224028.22645592366	247020.7007994324	269820.47256194445
chr21	7310.728209991754	123100.07450455065	126028.88563780405	124025.81669619257	123451.56895401742	135315.5164481697
chr22	11910.461197329687	152725.94204200528	134239.65894007598	122061.88515596621	153625.79650671265	137465.1013477596
chrX	21761.537742141074	468179.0396668967	492531.5908134786	530733.7230541164	448198.57542439085	488523.19499367516
chrY	0.0	0.0	0.0	0.0	0.0	0.0
